uid,text,label,metadata__gold,metadata__sentence_id,metadata__pre_sentence,metadata__post_sentence
10000051,Our industries are flourishing.,0,FALSE,10000051,We have risen to fresh challenges at home and abroad. Once again our economy is strong.,"Unemployment is falling. Founded on this new prosperity, we are building a better Health Service and providing more care for those in need."
10000061,Unemployment is falling.,-1,FALSE,10000061,Once again our economy is strong. Our industries are flourishing.,"Founded on this new prosperity, we are building a better Health Service and providing more care for those in need. Living standards are higher than ever before."
10000081,Living standards are higher than ever before.,0,FALSE,10000081,"Unemployment is falling. Founded on this new prosperity, we are building a better Health Service and providing more care for those in need.",Our people have the protection of a stronger defence and more police. Britain has come right by her own efforts.
10000131,"Given the opportunities provided by Conservative policies, many more families now enjoy the pride of ownership of homes, of shares and of pensions.",1,FALSE,10000131,We trusted in the character and talents of our people. The British instinct is for choice and independence.,"Together we are building One Nation of free, prosperous and responsible families and people. A Conservative dream is at last becoming a reality."
10000201,Is it really only such a short time ago that inflation rose to an annual rate of 27 per cent?,0,FALSE,10000201,For the first time in a generation this country looks forward to an era of real prosperity and fulfilment. A vast change separates the Britain of today from the Britain of the late 1970s.,"That the leader of the Transport and General Workers' Union was widely seen as the most powerful man in the land? That a minority Labour Government, staggering from crisis to crisis on borrowed money, was nonetheless maintained in power by the Liberal Party in return for the paper concession of a Lib-Lab pact?"
10000211,That the leader of the Transport and General Workers' Union was widely seen as the most powerful man in the land?,1,TRUE,10000211,A vast change separates the Britain of today from the Britain of the late 1970s. Is it really only such a short time ago that inflation rose to an annual rate of 27 per cent?,"That a minority Labour Government, staggering from crisis to crisis on borrowed money, was nonetheless maintained in power by the Liberal Party in return for the paper concession of a Lib-Lab pact? And that Labour's much-vaunted pay pact with the unions collapsed in the industrial anarchy of the winter of discontent, n which the dead went unburied, rubbish piled up in the streets and the country was gripped by a creeping paralysis which Labour was powerless to cure?"
10000231,"And that Labour's much-vaunted pay pact with the unions collapsed in the industrial anarchy of the winter of discontent, n which the dead went unburied, rubbish piled up in the streets and the country was gripped by a creeping paralysis which Labour was powerless to cure?",1,TRUE,10000231,"That the leader of the Transport and General Workers' Union was widely seen as the most powerful man in the land? That a minority Labour Government, staggering from crisis to crisis on borrowed money, was nonetheless maintained in power by the Liberal Party in return for the paper concession of a Lib-Lab pact?",It seems in retrospect to be the history of another country. Yet these things happened and people had to accept them as an unavoidable part of everyday life.
10000311,Britain today is in the seventh successive year of steady economic growth.,0,FALSE,10000311,"Britain was heading for irreversible decline. Well, the people were not ungovernable, the disease was not incurable, the decline has been reversed.","We have moved from the bottom to the top of the growth league of major European countries. In Britain today, inflation has reached its lowest levels for almost twenty years."
10000331,"In Britain today, inflation has reached its lowest levels for almost twenty years.",0,FALSE,10000331,Britain today is in the seventh successive year of steady economic growth. We have moved from the bottom to the top of the growth league of major European countries.,"In Britain today, the number of strikes has dropped to the lowest levels for 50 years. In Britain today, far from being in debt to the IMF, we have built up our net overseas assets to their highest level since the Second World War - higher than France, Germany and the United States, second only to Japan."
10000341,"In Britain today, the number of strikes has dropped to the lowest levels for 50 years.",1,FALSE,10000341,"We have moved from the bottom to the top of the growth league of major European countries. In Britain today, inflation has reached its lowest levels for almost twenty years.","In Britain today, far from being in debt to the IMF, we have built up our net overseas assets to their highest level since the Second World War - higher than France, Germany and the United States, second only to Japan. In Britain today, living standards are higher than ever before in our history."
10000351,"In Britain today, far from being in debt to the IMF, we have built up our net overseas assets to their highest level since the Second World War - higher than France, Germany and the United States, second only to Japan.",0,FALSE,10000351,"In Britain today, inflation has reached its lowest levels for almost twenty years. In Britain today, the number of strikes has dropped to the lowest levels for 50 years.","In Britain today, living standards are higher than ever before in our history. But these are bald statistics."
10000361,"In Britain today, living standards are higher than ever before in our history.",0,FALSE,10000361,"In Britain today, the number of strikes has dropped to the lowest levels for 50 years. In Britain today, far from being in debt to the IMF, we have built up our net overseas assets to their highest level since the Second World War - higher than France, Germany and the United States, second only to Japan.","But these are bald statistics. What matters is the feel of the country - the new enthusiasm for enterprise, the new spirit that Britain can make it, that we can prosper with the best."
10000381,"What matters is the feel of the country - the new enthusiasm for enterprise, the new spirit that Britain can make it, that we can prosper with the best.",1,FALSE,10000381,"In Britain today, living standards are higher than ever before in our history. But these are bald statistics.","Investment in British industry is rising strongly. Our services sector, employing almost two-thirds of our workforce, generates a vast surplus of foreign earnings."
10000391,Investment in British industry is rising strongly.,1,FALSE,10000391,"But these are bald statistics. What matters is the feel of the country - the new enthusiasm for enterprise, the new spirit that Britain can make it, that we can prosper with the best.","Our services sector, employing almost two-thirds of our workforce, generates a vast surplus of foreign earnings. And our manufacturers are travelling the globe with a new confidence born of the knowledge that Britain is internationally competitive again."
10000401,"Our services sector, employing almost two-thirds of our workforce, generates a vast surplus of foreign earnings.",0,FALSE,10000401,"What matters is the feel of the country - the new enthusiasm for enterprise, the new spirit that Britain can make it, that we can prosper with the best. Investment in British industry is rising strongly.",And our manufacturers are travelling the globe with a new confidence born of the knowledge that Britain is internationally competitive again. The World Stage. This national revival is not confined to increased economic strength.
10000411,And our manufacturers are travelling the globe with a new confidence born of the knowledge that Britain is internationally competitive again.,0,FALSE,10000411,"Investment in British industry is rising strongly. Our services sector, employing almost two-thirds of our workforce, generates a vast surplus of foreign earnings.",The World Stage. This national revival is not confined to increased economic strength. Britain is also playing a major part on the international stage.
10000551,Today we are able to shape world efforts to sustain trade and promote international monetary co-operation.,0,FALSE,10000551,Success has followed. Prudent financial policies have made Britain one of the world's largest creditors.,"We gave a lead in NATO and installed Cruise missiles. Today, as a result, the Soviet Union is at last prepared to negotiate to remove its own missiles targeted against us."
10000641,"Remember: The year-long coal strike, with its violence and intimidation on a massive scale.",1,TRUE,10000641,But restoring a country's greatness is not easy. The new Conservative policies met bitter resistance every step of the way.,It failed and mining productivity has since soared. The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget.
10000651,It failed and mining productivity has since soared.,1,TRUE,10000651,"The new Conservative policies met bitter resistance every step of the way. Remember: The year-long coal strike, with its violence and intimidation on a massive scale.","The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget. We now get automatic rebates - this year, over &lt;U+00A3&gt;1.3 billion."
10000661,The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget.,0,FALSE,10000661,"Remember: The year-long coal strike, with its violence and intimidation on a massive scale. It failed and mining productivity has since soared.","We now get automatic rebates - this year, over &lt;U+00A3&gt;1.3 billion. The doubling of the oil price which confronted the new Government with a world-wide recession - and, more recently, an equally dramatic fall in the oil price which halved government oil revenues and in earlier times would have threatened a collapse of confidence in the pound."
10000671,"We now get automatic rebates - this year, over £1.3 billion.",0,FALSE,10000671,It failed and mining productivity has since soared. The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget.,"The doubling of the oil price which confronted the new Government with a world-wide recession - and, more recently, an equally dramatic fall in the oil price which halved government oil revenues and in earlier times would have threatened a collapse of confidence in the pound. Both these oil shocks were successfully withstood by prudent policies which have produced a sustained growth of prosperity."
10000681,"The doubling of the oil price which confronted the new Government with a world-wide recession - and, more recently, an equally dramatic fall in the oil price which halved government oil revenues and in earlier times would have threatened a collapse of confidence in the pound.",-1,FALSE,10000681,"The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget. We now get automatic rebates - this year, over &lt;U+00A3&gt;1.3 billion.",Both these oil shocks were successfully withstood by prudent policies which have produced a sustained growth of prosperity. And let us not forget the challenge of the Falklands War.
10000691,Both these oil shocks were successfully withstood by prudent policies which have produced a sustained growth of prosperity.,1,FALSE,10000691,"We now get automatic rebates - this year, over £1.3 billion. The doubling of the oil price which confronted the new Government with a world-wide recession - and, more recently, an equally dramatic fall in the oil price which halved government oil revenues and in earlier times would have threatened a collapse of confidence in the pound.","And let us not forget the challenge of the Falklands War. How many of the alternative governments on offer would have stood firm, overcome, or even survived such difficulties?"
10000741,Or that any of the Opposition parties would have persevered through all these difficulties to break the back of inflation and restore honest money?,1,FALSE,10000741,"Does anyone suppose that the Labour Party would have resisted, let alone defeated, the violence and intimidation in the coal strike? Or that the Liberals or the Social Democrats would have fought so hard for our rebate from the European Community?",A Strong and Stable Government. How has it been done? All these improvements in the wealth and standing of our country have only been possible because we have had a strong government with sound policies and a decisive majority in Parliament.
10000821,"We will continue: to pursue policies of sound financial management, the conquest of inflation, the promotion of enterprise and the growth of employment",1,FALSE,10000821,"In this election, only the Conservative Party is offering strong, decisive and united government. The Next Moves Forward. The next Conservative Government will build on the achievements of the past eight years with a full programme of positive reform.","to spread the ownership of homes, shares, pensions and savings ever more widely to give families greater financial independence to give people greater choice and responsibility over their own lives in important areas such as housing and education"
10000831,"to spread the ownership of homes, shares, pensions and savings ever more widely to give families greater financial independence",1,FALSE,10000831,"The Next Moves Forward. The next Conservative Government will build on the achievements of the past eight years with a full programme of positive reform. We will continue: to pursue policies of sound financial management, the conquest of inflation, the promotion of enterprise and the growth of employment","to give people greater choice and responsibility over their own lives in important areas such as housing and education to improve the well-being of the people through better health care, and to safeguard the living standards of those who have to depend on the community"
10000891,"Wider Ownership and Greater Opportunity. Conservatives aim to extend as widely as possible the opportunity to own property and build up capital, to exercise real choice in education, and to develop economic independence and security.",1,FALSE,10000891,"to exercise strong leadership where government needs to be strong in protecting the nation against potential aggression and the citizen against lawlessness. We intend to press on with the radical Conservative reform which we embarked upon in 1979, and which has already revived the spirit of our people and restored the reputation of our country.","Our goal is a capital-owning democracy of people and families who exercise power over their own lives n the most direct way. They would take the important decisions - as tenants, home-owners, parents, employees, and trade unionists rather than having them taken for them."
10000901,Our goal is a capital-owning democracy of people and families who exercise power over their own lives n the most direct way.,1,TRUE,10000901,"We intend to press on with the radical Conservative reform which we embarked upon in 1979, and which has already revived the spirit of our people and restored the reputation of our country. Wider Ownership and Greater Opportunity. Conservatives aim to extend as widely as possible the opportunity to own property and build up capital, to exercise real choice in education, and to develop economic independence and security.","They would take the important decisions - as tenants, home-owners, parents, employees, and trade unionists rather than having them taken for them. Of course, it is not possible to give people independence."
