uid,text,label,metadata__gold,metadata__sentence_id,metadata__pre_sentence,metadata__post_sentence,metadata__manifesto_id
2010000002,"The BNP is proud to campaign on a number of issues which set it apart from all other political parties, namely the conflict in Afghanistan, the immigration invasion of our country, the threat to our security posed by Islamism and the danger of the European Union to our sovereignty.",1,FALSE,2010000002, ,"The BNP is also the only party to map out realistic and sensible budget cuts which will bring the deficit under control -- without cutting front line public services to the British people. In addition, the reader will find unique and innovative policies within this document which range from a solution for the housing crisis to restoring British industry, and from building our nation's IT infrastructure to constitutional reform to guarantee our people's liberties and freedom.",BNP 2010
2010000007,"It is also a warning that democracy is under threat from the European Union and mass immigration, both of which threaten to extinguish all of our traditions and culture.",1,FALSE,2010000007,"The word ""democracy"" appears in the title of our manifesto for good reason. It represents our desire to preserve this great institution.","The word ""freedom"" appears in the title to alert readers to the fact that civil liberties and personal freedoms in modern Britain are under attack. In the name of ""fighting terrorism,"" the old-gang parties have introduced draconian laws which have usurped many of our traditional freedoms -- while the old-gang parties themselves are to blame for the threat of terrorism hanging over our country.",BNP 2010
2010000021,"IMMIGRATION: AN UNPARALLELED CRISIS WHICH ONLY THE BNP CAN SOLVE. At current immigration and birth rates, indigenous British people are set to become  a minority well within 50 years.",1,FALSE,2010000021,The BNP will raise Defence spending by one percent over the rate of inflation  for the next five years. The BNP will institute a Community Award Scheme for young people.,"This will result in the extinction of the British people, culture, heritage and identity. The BNP will take all steps necessary to halt and reverse this process.",BNP 2010
2010000022,"This will result in the extinction of the British people, culture, heritage and identity.",1,FALSE,2010000022,"The BNP will institute a Community Award Scheme for young people. IMMIGRATION: AN UNPARALLELED CRISIS WHICH ONLY THE BNP CAN SOLVE. At current immigration and birth rates, indigenous British people are set to become  a minority well within 50 years.","The BNP will take all steps necessary to halt and reverse this process. These steps will include a halt to all further immigration, the deportation of all illegal immigrants, a halt to the ""asylum"" swindle and the promotion of the already existing voluntary repatriation scheme.",BNP 2010
2010000025,"The BNP recognises the right of legally settled and law-abiding minorities to remain in the UK and enjoy the full protection of the law, on the understanding that the indigenous population of Britain has the right to remain the majority population of our nation.",1,FALSE,2010000025,"The BNP will take all steps necessary to halt and reverse this process. These steps will include a halt to all further immigration, the deportation of all illegal immigrants, a halt to the ""asylum"" swindle and the promotion of the already existing voluntary repatriation scheme.","The BNP will deport all foreigners convicted of crimes in Britain, regardless of their immigration status. The BNP will review all citizenship grants awarded since Labour entered government in 1997, based on that party's admission that they orchestrated mass immigration to change forcibly Britain's demographics and to gerrymander elections.",BNP 2010
2010000026,"The BNP will deport all foreigners convicted of crimes in Britain, regardless of their immigration status.",1,FALSE,2010000026,"These steps will include a halt to all further immigration, the deportation of all illegal immigrants, a halt to the ""asylum"" swindle and the promotion of the already existing voluntary repatriation scheme. The BNP recognises the right of legally settled and law-abiding minorities to remain in the UK and enjoy the full protection of the law, on the understanding that the indigenous population of Britain has the right to remain the majority population of our nation.","The BNP will review all citizenship grants awarded since Labour entered government in 1997, based on that party's admission that they orchestrated mass immigration to change forcibly Britain's demographics and to gerrymander elections. The BNP will repeal the Race Relations Act and all other far leftist social  engineering projects, such as the Equalities and Human Rights Commission aimed  at enforcing multiculturalism.",BNP 2010
2010000027,"The BNP will review all citizenship grants awarded since Labour entered government in 1997, based on that party's admission that they orchestrated mass immigration to change forcibly Britain's demographics and to gerrymander elections.",1,FALSE,2010000027,"The BNP recognises the right of legally settled and law-abiding minorities to remain in the UK and enjoy the full protection of the law, on the understanding that the indigenous population of Britain has the right to remain the majority population of our nation. The BNP will deport all foreigners convicted of crimes in Britain, regardless of their immigration status.","The BNP will repeal the Race Relations Act and all other far leftist social  engineering projects, such as the Equalities and Human Rights Commission aimed  at enforcing multiculturalism. The BNP will regain sovereign control of our borders by increasing funding  to the UK Border Agency.",BNP 2010
2010000029,The BNP will regain sovereign control of our borders by increasing funding  to the UK Border Agency.,1,FALSE,2010000029,"The BNP will review all citizenship grants awarded since Labour entered government in 1997, based on that party's admission that they orchestrated mass immigration to change forcibly Britain's demographics and to gerrymander elections. The BNP will repeal the Race Relations Act and all other far leftist social  engineering projects, such as the Equalities and Human Rights Commission aimed  at enforcing multiculturalism.","ENVIRONMENTAL PROTECTION AND THE ""CLIMATE CHANGE"" THEORY.  The BNP demands an end to the destruction of Britain's green belt, caused primarily by housing demand fuelled through mass immigration. The BNP will launch a ""polluter pays"" policy in the fight against environmental damage.",BNP 2010
2010000030,"ENVIRONMENTAL PROTECTION AND THE ""CLIMATE CHANGE"" THEORY.  The BNP demands an end to the destruction of Britain's green belt, caused primarily by housing demand fuelled through mass immigration.",1,FALSE,2010000030,"The BNP will repeal the Race Relations Act and all other far leftist social  engineering projects, such as the Equalities and Human Rights Commission aimed  at enforcing multiculturalism. The BNP will regain sovereign control of our borders by increasing funding  to the UK Border Agency.","The BNP will launch a ""polluter pays"" policy in the fight against environmental damage. The BNP will encourage the use of existing ""brown sites"" for all new building  or industrial developments.",BNP 2010
2010000038,"COUNTER JIHAD: CONFRONTING THE ISLAMIC COLONISATION OF BRITAIN.  The BNP is implacably opposed to the Labour/Tory regime's mass immigration  policies which, if left unchecked, will see Britain and most of Europe colonised by  Islam within a few decades.",1,TRUE,2010000038,The BNP will end the annual multibillion cash haemorrhage Britain pays out to the EU  in membership fees and regulatory costs. This money will be spent on building  infrastructure in Britain and alleviating poverty and unemployment at home.,"The BNP believes that the historical record shows that Islam is by its very nature  incompatible with modern secular western democracy. The BNP will ban the burka, ritual slaughter and the building of further mosques  in Britain.",BNP 2010
2010000166,"Immigration: An Unparalleled Crisis Which Only the BNP Can Solve.  At current immigration and birth rates, indigenous British people are set to become  a minority well within 50 years.",1,FALSE,2010000166,"These courses would be character building and would instil discipline, social and community values and work ethics in all young people. Service in this scheme would entitle each individual to receive something back from the society to which they have learnt to contribute, such as free university education, a properly supported apprenticeship or business training.","This will result in the extinction of the British people,  culture, heritage and identity. The BNP will take all steps necessary to halt and reverse this process.",BNP 2010
2010000167,"This will result in the extinction of the British people,  culture, heritage and identity.",1,FALSE,2010000167,"Service in this scheme would entitle each individual to receive something back from the society to which they have learnt to contribute, such as free university education, a properly supported apprenticeship or business training. Immigration: An Unparalleled Crisis Which Only the BNP Can Solve.  At current immigration and birth rates, indigenous British people are set to become  a minority well within 50 years.","The BNP will take all steps necessary to halt and reverse this process. These steps will include a halt to all further immigration, the deportation of all illegal immigrants, a halt to the ""asylum"" swindle and the promotion of the already existing voluntary repatriation scheme.",BNP 2010
2010000170,"The BNP recognises the right of legally settled and law-abiding minorities to remain in  the UK and enjoy the full protection of the law, on the understanding that the indigenous  population of Britain has the right to remain the majority population of our nation.",-1,FALSE,2010000170,"The BNP will take all steps necessary to halt and reverse this process. These steps will include a halt to all further immigration, the deportation of all illegal immigrants, a halt to the ""asylum"" swindle and the promotion of the already existing voluntary repatriation scheme.","The BNP will deport all foreigners convicted of crimes in Britain, regardless of their  immigration status. The BNP will review all citizenship grants awarded since Labour entered government  in 1997, based on that party's admission that they orchestrated mass immigration to  forcibly change Britain's demographics and to gerrymander elections.",BNP 2010
