uid,text,label,metadata__gold,metadata__sentence_id,metadata__pre_sentence,metadata__post_sentence
10000091,Our people have the protection of a stronger defence and more police.,2,FALSE,10000091,"Founded on this new prosperity, we are building a better Health Service and providing more care for those in need. Living standards are higher than ever before.",Britain has come right by her own efforts. We trusted in the character and talents of our people.
10000841,to give people greater choice and responsibility over their own lives in important areas such as housing and education,1,FALSE,10000841,"We will continue: to pursue policies of sound financial management, the conquest of inflation, the promotion of enterprise and the growth of employment to spread the ownership of homes, shares, pensions and savings ever more widely to give families greater financial independence","to improve the well-being of the people through better health care, and to safeguard the living standards of those who have to depend on the community to improve the quality of life by conserving the best of our heritage and our countryside, and by fostering provision for the arts and sport"
10000861,"to improve the quality of life by conserving the best of our heritage and our countryside, and by fostering provision for the arts and sport",-1,FALSE,10000861,"to give people greater choice and responsibility over their own lives in important areas such as housing and education to improve the well-being of the people through better health care, and to safeguard the living standards of those who have to depend on the community","to exercise strong leadership where government needs to be strong in protecting the nation against potential aggression and the citizen against lawlessness. We intend to press on with the radical Conservative reform which we embarked upon in 1979, and which has already revived the spirit of our people and restored the reputation of our country."
10000871,to exercise strong leadership where government needs to be strong in protecting the nation against potential aggression and the citizen against lawlessness.,1,FALSE,10000871,"to improve the well-being of the people through better health care, and to safeguard the living standards of those who have to depend on the community to improve the quality of life by conserving the best of our heritage and our countryside, and by fostering provision for the arts and sport","We intend to press on with the radical Conservative reform which we embarked upon in 1979, and which has already revived the spirit of our people and restored the reputation of our country. Wider Ownership and Greater Opportunity. Conservatives aim to extend as widely as possible the opportunity to own property and build up capital, to exercise real choice in education, and to develop economic independence and security."
10001011,People want to decide such things for themselves.,-1,FALSE,10001011,"And because these first-time shareholders and home-owners are more independent, they develop a more independent outlook. They are no longer content that some of the most important decisions in their lives what school their children attend, for example, or whether or not to go on strike should be taken by officialdom or trade union bosses.","In this way the scope of individual responsibility is widened, the family is strengthened, and voluntary bodies flourish. State power is checked and opportunities are spread throughout society."
10001021,"In this way the scope of individual responsibility is widened, the family is strengthened, and voluntary bodies flourish.",1,FALSE,10001021,"They are no longer content that some of the most important decisions in their lives what school their children attend, for example, or whether or not to go on strike should be taken by officialdom or trade union bosses. People want to decide such things for themselves.",State power is checked and opportunities are spread throughout society. Ownership and independence cease to be the privileges of a few and become the birthright of all.
10001301,Some may even become temporarily homeless.,0,FALSE,10001301,Those who find work may not be able to find rented accommodation nearby. Those who would prefer to rent rather than buy are forced to become reluctant owner-occupiers or to swell the queue for council houses.,And it is not only these people and their families who suffer from the shortage of homes for rent. The economy as a whole is damaged when workers cannot move to fill jobs because there are no homes to rent in the neighbourhood.
10001511,We will strengthen the law against harassment and unlawful eviction.,1,FALSE,10001511,And we will revise the housing benefit system to ensure that it prevents landlords from increasing rents to unreasonable levels at the taxpayer's expense. All existing private and housing association tenants will continue to have their present protection in respect of rents and security of tenure.,"Rights for Council Tenants. Many council estates built in the sixties and seventies are badly designed, vulnerable to crime and vandalism and in bad repair. In many areas, rent arrears are high."
10001521,"Rights for Council Tenants. Many council estates built in the sixties and seventies are badly designed, vulnerable to crime and vandalism and in bad repair.",-1,FALSE,10001521,All existing private and housing association tenants will continue to have their present protection in respect of rents and security of tenure. We will strengthen the law against harassment and unlawful eviction.,"In many areas, rent arrears are high. In all, over 110,000 council dwellings stand empty."
10001591,Tenants who wish to remain with the local authority will be able to do so.,-1,FALSE,10001591,"We will give groups of tenants the right to form tenant co-operatives, owning and running their management and budget for themselves. They will also have the right to ask other institutions to take over their housing.","We will give each council house tenant individually the right to transfer the ownership of his or her house to a housing association or other independent, approved landlord. In some areas more may be necessary."
10002071,"They want schools that will encourage moral values: honesty, hard work and responsibility.",1,FALSE,10002071,"Raising Standards in Education. Parents want schools to provide their children with the knowledge, training and character that will fit them for today's world. They want them to be taught basic educational skills.",And they should have the right to choose those schools which do these things for their children. Raising Standards in Our Schools. How can all this best be done?
10002171,"Parents and employers are rightly concerned that not enough children master the basic skills, that some of what is taught seems irrelevant to a good education and that standards of personal discipline and aspirations are too low.",0,FALSE,10002171,But money alone is not enough. Increased resources have not produced uniformly higher standards.,In certain cases education is used for political indoctrination and sexual propaganda. The time has now come for school reform.
10002181,In certain cases education is used for political indoctrination and sexual propaganda.,2,FALSE,10002181,"Increased resources have not produced uniformly higher standards. Parents and employers are rightly concerned that not enough children master the basic skills, that some of what is taught seems irrelevant to a good education and that standards of personal discipline and aspirations are too low.","The time has now come for school reform. Four Major Reforms. First, we will establish a National Core Curriculum."
