uid	text	label	metadata__wavenum	metadata__ideo5	metadata__row_number
3257	1 anti abortion legislation 2 donald trump tweets 3 donald trump favoritism of fundamentalist christians 4 florida legislation to make public schools have to have bible classes 5 death penalty for abortions extremism to try to turn over roe v wade	0	11	Moderate	3257
1642	1 dumbass donald trump 2 the hired helps inability to comprehend compromise	0	7	Moderate	1642
5414	1 im very hopeful that donald trump business background and work ethics will leverage real positive change in our inner cities to lift up the forgotten man woman as he promised and to heal the racial divide that barack obama presidency cultivated 2 i believe donald trump will address many of the superfluous over the top regulations that make it difficult for so many businesses to thrive in our economy this includes the affordable care act which really needs to go back to the drawing board 3 i hope donald trump takes decisive actions that will reduce the threat of terrorism in america 4 im hopeful that the donald trump administration makes real progress on the issue of immigration in our country finding some common ground to improve the current situation 5 im hopeful that our new president will take steps that will stimulate our economy increasing the workforce participation level and reducing dependence on public assistance programs 6 im especially hopeful that our new president will hold people and departments in washington dc accountable the actions of the irs the partisan agenda of the justice department has left me with a deep distrust of our government something i have never felt before drain the swamp really hit home for me	1	3	Moderate	5414
3557	1 terrorism 2 continued civil unrest related to the election of donald trump our country not coming together this worries me	0	3	Moderate	3557
2628	1 the persecution of immigrants 2 the possibility of entering a nuclear war with north korea 3 the continuation of multiple crimes such as the one in las vegas in new york and now in texas 4 the disagreements in the white house 5 the increase in drug consumption crime money laundering corruption	0	6	Moderate	2628
6653	12 months less of donald trump presidency	1	11	Conservative	6653
3777	12 months more of donald trump	0	4	Moderate	3777
6080	12 months more of donald trump implementing his policies looking forward to seeing the first brick in the wall build that wall	1	7	Very conservative	6080
4973	12 months more of donald trump presidency	0	11	Conservative	4973
6002	2018 midterms will throw republicans out of off and finally have rational check on donald trump and his fellow crooks	1	7	Moderate	6002
6620	2020 we can vote for a new president	1	10	Moderate	6620
1457	38% of voters still cant see the real donald trump !	0	6	Liberal	1457
5331	4 more years of donald trump	0	12	Moderate	5331
6910	4 more years with president donald trump !	1	12	Very conservative	6910
2944	45 just pushed out jeff sessions and will replace him with a donald trump loyalist matthew g whitaker i believe this happened so that 45 can try to avoid accountability for his past and ongoing corruption we the people wont stand for this ! !	0	9	Very liberal	2944
2532	9 donald trump administration officials with connections to russia including wilbur ross indicating that the republican senate didnt feel it necessary to thoroughly vet any of these people	0	6	Very liberal	2532
2617	99% of anything donald trump says does or tweets	0	6	Liberal	2617
5927	a attempt to indict a sitting president	1	6	Moderate	5927
3820	a bigoted unqualified loose cannon president and the pandering congress alienating our allies attacking the media the bold faced lying muslim ban attacks on the environment the list goes on and on	0	4	Very liberal	3820
5424	a bright new future with new ideas president donald trump will change the way things are done in washington	1	3	Moderate	5424
719	a busy president working to make our country better	1	4	Very conservative	719
3634	a cabal of racist sexist homophobic xenophobes are taking ultimate power in this country the united states is doomed anything that once made this country great is out the window if donald trump is placed in office	0	3	Liberal	3634
5260	a centrist democrat going against donald trump in the general and losing just like in 2016	0	12	Very liberal	5260
5715	a committee voted to start donald trump impeachment	1	4	Very liberal	5715
4763	a constitutional crisis related to donald trump and the russia mueller investigation	0	9	Liberal	4763
2111	a criminal president and a cowardly congress	0	12	Very liberal	2111
3913	a dangerous person like donald trump	0	4	Moderate	3913
5150	a democrat becomes president with the democrats having control	0	12	Moderate	5150
5361	a democrat getting elected as president	0	12	Very conservative	5361
6346	a democrat house to check donald trump	1	9	Moderate	6346
5308	a democrat in the white house	0	12	Very conservative	5308
