metadata__candidate,uid,text,metadata__title,metadata__year,label,metadata__test,metadata__row_number
Donald J. Trump,Speech5_0:10,"['', 'PRESIDENT DONALD TRUMP: Thank you. Wow. Thank you, thank you, thank you, Ohio. I love Ohio. What a victory, what a victory. [applause]', 'Remember these guys saying on television over and over again, ""You cannot win unless you get with the great state of Ohio."" We got this great state. . . \xa0[applause]\xa0 ', 'Remember they used to say that, ""Trump can\'t get it because it all goes through Ohio."" They didn\'t know that we\'re going to win by a lot. We won by a lot. . . \xa0[applause]', ""We won by a lot. But I'm thrilled to be back. This is an incredible place, and--and we've done well. We've really produced. You know, last time I told you what we're going to do. Now you have the steel mills roaring again. You have people coming back into our country. You have all of these things happening . . . \xa0[applause]"", ""It's much easier now. We have the greatest economy we've ever had. [applause]"", ""We have the best numbers. We're setting records in every respect, so it's much easier for me to do this than it was when I was campaigning when I said this will happen. This is a much easier situation. [applause]"", ""It's an incredible time for our country.\xa0 America is respected again and America is winning again. . . \xa0[applause]"", 'Because we are finally putting America first. [applause]', ""About time.\xa0 Our economy is booming.\xa0 Jobs are pouring back into our country.\xa0 We're bringing them back.\xa0 Those companies that left they want to come back.\xa0 This is where the action is.\xa0 [applause]""]","
Remarks at a “Make America Great Again” Rally in Lewis Center, Ohio
",2018,reject,FALSE,1
Donald J. Trump,Speech5_10:20,"[""We're protecting American workers, supporting American law enforcement . . .\xa0 [applause]"", 'Including ICE.\xa0 ICE, we love ICE.\xa0 [applause]', 'CROWD:\xa0 Build the wall!\xa0 Build the wall! Build the wall. . . \xa0', ""We're building that wall.\xa0 We're building a wall, don't worry.\xa0 We've already started.\xa0 We've already started.\xa0 We're building that wall.\xa0 We've already started.\xa0 We're doing a lot of things that people don't even know about.\xa0 [applause]"", ""We're defending our Constitution.\xa0 We're taking care of our great vets.\xa0 [applause]"", 'Our military will soon be stronger than it ever has been before.\xa0 [applause]', 'And the forgotten men and women of the United States are forgotten no more.\xa0 [applause]', ""We are the great people.\xa0 We are the great people.\xa0 You work hard, you pay your taxes, you do all these things and you were forgotten.\xa0 They forgot about you.\xa0 And you're the smartest people, you're the smartest people.\xa0 "", 'You know what they talk about?\xa0 They talk about the elite, the elite.\xa0 Do you ever see the elite?\xa0 [booing]', ""They're not elite.\xa0 You're the elite.\xa0 You are the elite.\xa0 [applause]""]","
Remarks at a “Make America Great Again” Rally in Lewis Center, Ohio
",2018,accept,FALSE,2
Donald J. Trump,Speech5_20:30,"[""You're smarter than they are.\xa0 You make bigger incomes.\xa0 You've got everything going, you know.\xa0 So let them keep calling us that.\xa0 You ever hear it?\xa0 "", 'Hey, you go to the best schools.\xa0 You do a tremendous job.\xa0 Your own companies.\xa0 You work for tremendous salaries.\xa0 You do all the things that you do.\xa0 You\'re talented with your hands, with your mind.\xa0 And then you hear, ""The elite has just said.""\xa0 The elite?\xa0 [laughter]', ""They're more elite than me.\xa0 I have better everything than they have, including this. [applause]"", ""And I became president and they didn't, meaning you became president. [applause]"", ""And it's driving them crazy. [applause]"", ""We're honored to be joined this evening by many of your state's great leaders, including your next governor Mike DeWine who's terrific . . . \xa0[applause]"", 'And your next United States Senator Jim Renacci. [applause]', ""Great people, they're great people.\xa0 And for the Senate we have to get Jim.\xa0 We just have to get him in because . . .\xa0 [applause]"", 'Senator Brown is not going to vote for our judge.\xa0 We have a great judge.\xa0 We love Justice Gorsuch.\xa0 Now we have soon-to-be Justice Kavanaugh.\xa0 We need both. [applause]', 'We need Jim Renacci. [applause]']","
Remarks at a “Make America Great Again” Rally in Lewis Center, Ohio
",2018,accept,TRUE,3
Donald J. Trump,Speech5_30:40,"['CROWD:\xa0 We want Jim!\xa0 We want Jim! We want Jim. . . ', ""PRESIDENT TRUMP: So vote for Jim.\xa0 We got to get Jim in there.\xa0 He's a very important guy.\xa0 "", 'Also here with us tonight is Ohio Speaker of the House Ryan Smith.\xa0 Ryan, thank you. [applause]', 'Thank you, Ryan.\xa0 ', 'Ohio Senate President Larry Obhof.\xa0 Larry, thank you.\xa0 ', 'RNC Co-chair Bob Paduchik, Bob, I love Bob, I love Bob.\xa0 You know, Bob Paduchick ran my campaign in Ohio.\xa0 You know that, right? [applause]', 'And he was recommended along with five or six people and they were all recommended.\xa0 And I sort of said, ""I don\'t know.""\xa0 But one person said something about him that I liked.\xa0 They said he never quits, he never gives up.\xa0 ', ""And Bob Paduchik, I didn't have the governor's support.\xa0 I didn't have senator support.\xa0 I didn't have your head of the Republican Party support other than that he's doing very well.\xa0 [booing]"", 'But Bob said, ""It doesn\'t matter because you have the people\'s support,"" he said though.\xa0 [applause]', 'And you remember that great night in November . . .\xa0 [applause]']","
Remarks at a “Make America Great Again” Rally in Lewis Center, Ohio
",2018,reject,FALSE,4
Donald J. Trump,Speech5_40:50,"['When they said, after hearing so much about Ohio, and it is true you have to win Ohio.\xa0 And they said, ""It\'s going to be close.\xa0 He\'s going to be able to win maybe by two if he\'s lucky.""\xa0 That would mean it would take all night they wouldn\'t be able to say a thing, and they announced, ""The polls are closed.\xa0 Donald Trump has won the state of Ohio.""\xa0 [applause]', 'Come up here, Bob, come up.\xa0 ', 'I never--he never stops, and now he\'s working with Troy and he\'s doing good.\xa0 You just said, ""He\'s going to be winning, Bob.""\xa0 When he says he\'s going to win--I think we won by 11 points or something, Bob, right, 11?\xa0 Oh, 8-1/2, well, that\'s . . .\xa0 [laughter]', ""We'll take that, we'll take that.\xa0 Did you have to be so accurate, Bob?\xa0 [laughter]"", ""Eight and a half points, we love Ohio.\xa0 We love it.\xa0 And I'll tell you what, we're going to have a tremendous victory for Troy, Troy Balderson. [applause]"", ""And he's the one I wanted to win.\xa0 They had this false report that I was supporting somebody else, and they were right.\xa0 It was fake news, you're right, so.\xa0 "", ""And I was supporting somebody else, Steve Stivers, but he's in a totally different district.\xa0 [laughter]"", 'Did they apologize?\xa0 Did you apologize for them to say, no, I heard today - I heard today. . . \xa0[booing and chanting]', ""So, no, I did.\xa0 I heard that--you know, that Troy was like my second choice.\xa0 I said, He's my first choice.\xa0 He's always been the one I wanted to win, and it's always dangerous when you do this.\xa0 You know, you get involved in the primary.\xa0 He thinks--although I have done very well.\xa0 They don't say--they don't say our record in the primaries.\xa0 They give us a lot of false records.\xa0 "", ""Katie Arrington, South Carolina, she was behind by a lot and she's fantastic, by the way, she's fantastic.\xa0 And we endorsed her, and she beat a man that likes flamenco dancers from Argentina.\xa0 You know about that.\xa0 [applause]""]","
Remarks at a “Make America Great Again” Rally in Lewis Center, Ohio
",2018,reject,TRUE,5
Donald J. Trump,Speech5_50:60,"['He was supposed to be vacationing on the Tallahassee Trail, but he was actually in Argentina. [laughter]', ""I don't know.\xa0 Jim, do they have a Tallahassee Trail in Argentina?\xa0 I don't think, right?\xa0 No?\xa0 No, right?\xa0 "", 'Jim Jordan, how great is he? [applause]', 'How great is he?\xa0 How great is he?\xa0 ', 'Hey, come here, Jim.\xa0 Come here, come here.\xa0 ', 'JIM JORDAN:\xa0 Thank you.\xa0 The--the--the President is a little taller than me.\xa0 ', 'CROWD:\xa0 Speaker of the House! Speaker of the House! [applause]', 'PRESIDENT TRUMP: And--thank you. [applause]', ""Think about this, in 18 months, regulations reduced, taxes lowered, Gorsuch on the court, economy growing at a record rate, unemployment at its lowest in 20 years, Kavanaugh is on deck on the court, we're out of that crazy Iran deal.\xa0 The--the embassy is going to Jerusalem and the hostages have been returned from North Korea.\xa0 That's what's happened under the President's leadership.\xa0 Thank you very much. [applause]"", 'PRESIDENT TRUMP: What a great defender he\'s been, what courage.\xa0 I\'ll tell you what.\xa0 There\'s a brave tough cookie along with some of his friends.\xa0 They are--they are--you know, I just look--I didn\'t know he was going to be here.\xa0 I looked over and said, ""I don\'t want to wrestle him.\xa0 He\'s tough.""\xa0 [laughter]']","
Remarks at a “Make America Great Again” Rally in Lewis Center, Ohio
",2018,reject,FALSE,6
Donald J. Trump,Speech5_60:70,"[""I think he's like 128 in one or something crazy like that.\xa0 Did you ever win in this room, Jim?\xa0 Did you ever wrestle in this room?\xa0 You would've won.\xa0 [laughter]"", ""Statistically, you would've won.\xa0 [laughter]"", ""Anyway, thanks, Jim, for being--I didn't know you're going to be here.\xa0 That's great.\xa0 Thank you, man. [applause]"", ""So, a woman--a woman, a fantastic woman who came to me because, you know, I didn't have the head of the Republican Party on my side.\xa0 I won't mention Matt's name.\xa0 [laughter]"", 'I was so nice to him, you\'re not go along and I talked, and I introduced him, his family, his wife, everybody was nice.\xa0 And then one day, I heard he wasn\'t going to be with us.\xa0 And I went, you know, to Paduchik.\xa0 I said, ""What do you think?""\xa0 He said, ""Your poll numbers are now going to go up.""\xa0 ', 'But what happened is we decided, after I won the presidency, we decided, ""Let\'s challenge this guy.\xa0 Why should we allow that to happen?""\xa0 And Jane Timken came along, and she was unyielding.\xa0 She challenged him. \xa0And as you know, a lot of people were trying to push him over the line.\xa0 That didn\'t work out too well because Jane Timken won that race, and she has been an incredible GOP State Chairman.\xa0 ', 'Thank you, Jane.\xa0 Come up.\xa0 [applause]', ""Thank you, Jane.\xa0 She's been incredible actually.\xa0 "", ""Finally, it is my true honor to introduce the person that we're here for tonight.\xa0 "", 'He\'s really tough, he\'s really smart.\xa0 He never stops working.\xa0 That\'s what Paduchik told me.\xa0 I said, ""How is he doing?""\xa0 He said, ""This man, he loves the people of Ohio.\xa0 He loves the people in this district.\xa0 He never ever stops.""\xa0 ']","
Remarks at a “Make America Great Again” Rally in Lewis Center, Ohio
",2018,reject,FALSE,7
Donald J. Trump,Speech5_70:80,"[""It's Ohio's 12th district, and he's going to hopefully be here for a long time.\xa0 He's never going to let you down.\xa0 I'll tell you, I see it, I see it.\xa0 And that's why we're so angry when they said that I was supporting Steve Stivers.\xa0 And I was--but again it's the wrong district, I support both of them.\xa0 [laughter]"", ""So I expected a big apology.\xa0 I thought it was going to be--I won't mention the one because actually sometimes they treat me OK, but about four percent of the time.\xa0 [laughter]"", 'But I said to a group, ""Well, they\'ll be apologizing today.""\xa0 I said, ""Did they apologize?""\xa0 I didn\'t see the apology, but that\'s OK because let me tell you, right from the beginning, Troy Balderson, he is the guy, he is the guy that\'s going to do things.\xa0 And you\'re going to be very surprised.\xa0 ', ""You know, they're talking about this blue wave.\xa0 [booing]"", ""I don't think so, I don't think so.\xa0 Maxine Waters is leading the charge.\xa0 [booing]"", ""Maxine, she's a real beauty, Maxine.\xa0 A seriously low I.Q. person, seriously.\xa0 "", ""Maxine Waters, she's leading the charge.\xa0 You know, all throughout like hundreds of--like 100 years, I guess, 125 years, whoever has the White House, that party tends to lose the midterms.\xa0 I don't know why.\xa0 Maybe it's complacency, maybe you all fight so hard for the presidency and, you know, you win and you're a little complacent, but I mean that was two years ago.\xa0 So I just said why.\xa0 "", 'But we have the greatest economy in the history of our country.\xa0 We have things that have never happened before.\xa0 [applause]', ""And look, if the Democrats get in, they're going to raise your taxes, you're going to have crime all over the place, you're going to have people pouring across the border.\xa0 So why would that be a blue wave?\xa0 I think it could be a red wave.\xa0 "", 'I tell you what--really, I think it should be a red wave. [applause]']","
Remarks at a “Make America Great Again” Rally in Lewis Center, Ohio
",2018,reject,FALSE,8
Donald J. Trump,Speech5_80:90,"[""But you got to get out and do it, you got to get out and vote.\xa0 You got to get out because they want to take away what we've given.\xa0 They want to take away--did you ever see this?\xa0 I mean, you see Pelosi who, by the way, again controls Danny O'Connor, whoever the hell that is, but, you know . . .\xa0 [booing]"", ""Danny O'Connor.\xa0 "", ""And Danny O'Connor, on his resume, put stuff that wasn't true, OK?\xa0 So he did that.\xa0 You know, he would have thought he was Perry Mason or something.\xa0 He was like a low-level person that did nothing.\xa0 Danny O'Connor, that's a beauty.\xa0 He's another beauty.\xa0 "", ""This is what we're fighting.\xa0 They will take away your taxes.\xa0 They will destroy so many things that we've given.\xa0 And you know, by the way, we had Obamacare repealed and replaced except for one man who showed up at two o'clock and he voted no, he went no.\xa0 "", ""But what we've done on health care is incredible.\xa0 We've kept your numbers way down, way below what they thought.\xa0 We've taken away the individual mandate, which is the single worst part of Obamacare.\xa0 [applause]"", ""We've taken it away.\xa0 And you know, I mean, look, hey this has been--this has been some successful period for our country.\xa0 Our country has never ever been like this.\xa0 Levels of enthusiasm, the likes of which nobody's ever seen, they've never seen it in the polls not for me, in the polls.\xa0 [applause]"", ""So, so we have a man that's going to fight for you.\xa0 He's going to fight for Ohio and he's going to be here for a long time.\xa0 He will never ever disappoint you.\xa0 I found that out from the people--you know, he's just not going to disappoint you.\xa0 He's really smart and he's a really hard worker.\xa0 "", 'Troy Balderson, come on up.\xa0 [applause]', ""TROY BALDERSON:\xa0 Thank you, thank you everyone.\xa0 It's a great honor to be here.\xa0 But before we get started, how about we wish the United States Coast Guard a happy 228th birthday.\xa0 [applause]"", ""And to all the men and women who serve and have served, let's give them a roaring sound of applause.\xa0 [applause]""]","
Remarks at a “Make America Great Again” Rally in Lewis Center, Ohio
",2018,reject,FALSE,9
Donald J. Trump,Speech5_90:100,"['Thank you.\xa0 For a guy from Muskingum County, an area I call the Shaker Heights of Appalachia, it is truly a humble experience to be on stage with President Trump.\xa0 [applause]', ""Mr. President, welcome back to Ohio, and we're thankful to have you here.\xa0 And thank you to everyone here today.\xa0 I am humbled by your support.\xa0 It's been overwhelming.\xa0 "", 'In 2016, Ohio was the battleground for the presidential election.\xa0 Your countless volunteer hours, your enthusiasm and most importantly, your vote helped put Donald J. Trump in the White House.\xa0 [applause]', ""On August 7th, we need to do that again.\xa0 I'm counting on all of you again.\xa0 I need your volunteer hours, your enthusiasm and most importantly, I need your vote August 7th so I can go to Congress . . .\xa0 [applause] \xa0. . . \xa0And represent you and fight alongside this good man, this great man, President Trump, to make America great again.\xa0 [applause]"", 'In just a short period of time since his election, President Trump has lowered taxes, brought unemployment to an all-time low, and the stock market is roaring.\xa0 [applause]', ""I'm going to fight alongside him to continue this economic success, I promise.\xa0 [applause]"", ""To the seniors out there, including my mom and dad, and they're here today . . .\xa0 [applause]"", "". . . \xa0And the seniors across America, President Trump will protect your Social Security and Medicare, and I'll fight alongside him to make sure the benefits you were promised are there for you.\xa0 [applause]"", ""Mr. President, we don't want to go back.\xa0 I'm not tired of winning.\xa0 My opponent has a different idea though, dishonest Danny O'Connor wants to repeal those middle-class tax cuts.\xa0 [booing]"", ""Dishonest Danny O'Connor wants to take away your guns.\xa0 [booing]""]","
Remarks at a “Make America Great Again” Rally in Lewis Center, Ohio
",2018,accept,FALSE,10
