pair_id	text1_id	text2_id	text1	text2	label	metadata__intercoder	metadata__comparison	metadata__intensity1	metadata__intensity1_num	metadata__intensity2	metadata__intensity2_num
05c0929cebf188730eec1d9c927d550a	d2ed8334934ee49dc9fb2d8f04f29f7e	3240fc883037f763bebe7e46351ab563	What have the families of British service personnel done to deserve being insulted by their own Government in that way?	I repeat the apology to the families of people who suffered appalling abuse and neglect.	text2	FALSE	-1	NA	NA	NA	NA
060fce4b47c24c9d4c3ed905cb39730e	48785e6eef24507434358928e52d8999	d6c54f1f0a2e9ecaf1eefc6f06185bda	Sometimes, people are so keen to avoid saying the wrong thing that they say nothing at all.	May we have a debate on capital investment in schools,  particularly considering that the current scheme is achieving better value for taxpayers than previous schemes and that capital is being used to provide the extra school places we need?	text1	TRUE	1	NA	NA	NA	NA
080f62010624835a08afc7680c080f49	9a9b02637f7bcb74aa3604afc61ee74a	cc6dad44df093e31207cfd6ac7e4f186	I am really trying to get the message to Openreach to sort that out.	I found interesting the accusations that the Opposition are suffering from selective amnesia with regard to international development and the efforts being made to give dignity and assistance to developing countries.	text1	FALSE	1	2	2	1	1
0dfc1e157bf2037d5a584a6432281678	3b2c6c24a6ae7e508383364484be45c3	640096008c47b6ddc9972d20ad76c093	Lambs are in the wrong places, pigs suffer overcrowding and much distress is caused.	Even though we had just acted to save our life or someone else's life, we were treated as though we had done something wrong.	same	FALSE	0	3	3	3	3
10941b3f36792c4007033aed45bd379f	c5b381a108ac79440b5f50100debeae8	c612f7cf25b23d46d22bfc87d1c50287	Will he join me in paying tribute to the work of the BBC external services, which probably do more than any other institution to promote knowledge and understanding, especially in countries suffering some form of internal difficulty?	Understandably, local people are most concerned and have made many representations to me.	text2	FALSE	-1	1	1	3	3
1367438cbba32a9a444d24dee935948b	e8b90d1275a94be76e0d2abf2abf8c20	1a8f51f677eb7f3a1937025dda30e3a2	Let us praise the positive, but let us learn the lessons when things go wrong.	This is also a British problem in a rather more profound and structured sense.	text1	FALSE	1	3	3	3	3
174efa0826c1f4e3ec67582ac85a0ec3	6b65e9bf6b013a478f60b62a4257d9da	57b89a85d24616a8a8e90fd3cbdfdc02	That arrangement does not include loss of earnings, and we are not going back to try to revalue it.	However, their behaviour was a source of terror, fear and humiliation for the family.	text2	FALSE	-1	2	2	5	5
181745f662373c93aa4e60097c9570a3	68455eb8a94c91f01beb15e17f39c057	b5e616c906a8b2dadfd07492dae15e27	Their anger is the anger of pain, the anger of discrimination, and the anger of lack of understanding, as well as the anger of frustration.	Despite record high employment, far too many young people leave school without qualifications and do not go into training or a job.	text1	FALSE	1	4	4	2	2
184c34d441694747b80040c01850b4d8	e0cfde06ac6fdeda35e1e36a1d0e899f	1a0ed2ef6d291db0a323b8eba8bc58b8	It is pretty understandable that someone who has had that horrendous experience takes that view.	I am convinced that the best way of sustaining that improvement is by increased competition.	text1	TRUE	1	NA	NA	1	1
186941e2e6739a3331f48324ec097517	e4b4704fc1431f554bf9b2644f7e1a08	92549e15e717f3be42a6ca4de7a25e72	That frustration is causing enormous damage to public confidence as well as to police morale.	The House can rest assured that all appropriate action to that end will be taken.	text1	FALSE	1	2	2	1	1
1abb23a45fd1a955507b85387d5d9dd7	90d087f792d0f5fe740a9dafff7d5d82	b2144abb67e7f8cf7fba966cd916607d	I accept that the Opposition are acting in the right spirit of trying to get things right, but I hope that I can convince them that in this instance they are not right, for the following reasons.	I was there in the afternoon later on, and I know that he enjoyed himself.	text1	FALSE	1	2	2	1	1
1ee3d2e6aa97ac77dd230e48fc88a6b0	e4ef66a8d63ef9761aa26187cd3c7aba	7381f089ff7255080d9cf2d82f5ec6e2	I am trying to get the Government to admit there is something seriously wrong.	I want to talk a little about the wider shame of what I heard the Conservative spokesman say.	same	FALSE	0	3	3	3	3
25ba653308a39affb0c152cc64d7685d	6088808bc67edcf584793777b3821e66	0a9682395e9289ae2a13e47a40640f34	I can well understand why, when someone causes a death by careless driving and a fine of this kind is imposed, real despair and anger is felt among the families concerned.	These contractual failings have caused real human suffering, and the Government need to address them urgently.	text1	FALSE	1	5	5	4	4
2ab36ec7ccb28240977208f0de307ba1	746d5603fd4619964fbb20837a5ed3a8	ff59002168113ec88ab46582c72e6e51	In our report to the Government in response to the guidance, we included a letter that we wrote to the Prime Minister on  17 March  last year.	They mean more jobs, and more jobs mean a better life for millions of people, which I am sure all of us in this House would like to see.	text2	FALSE	-1	1	1	3	3
2ee4c8ef9fa1d7f266fbcbd008123bb5	128840204cab9f213b6069252d96ce62	7fba598d0e3b7bdbebdb6711090fb249	They are not getting any money at all, but I am raising this issue with the Minister because the problem in Wales - this is what the Welsh Minister is saying to all those farmers - is that the information is not available to the Welsh Government.	I hope that I made it clear that I feel profoundly disappointed and let down.	text2	TRUE	-1	1	1	4	4
318c07f9dd03bd89fb0633de43c7ef39	1e2eaa204b9a355f3758df1cf8b91893	caaedbbb0e53fd1e282b161b4a32b4f6	One thing that I deeply regret is the real erosion by both major parties of the rights of Back Benchers.	Last Friday, my right hon  Friend the Secretary of State for Health announced an allocation of £658,000 for the Royal Bolton hospital to build a dedicated eye operating theatre.	text1	FALSE	1	3	3	1	1
35554f0cdd15219e62e84c4e18eab568	e3f6ee627b4df1af17ee3082a1d148be	01e6ac8a8d8d64e7862859e4cc6f3b97	We have learned that there are road shows going around to remind local authorities of their various powers to control alcohol and of the wonders that are these alcohol disorder zones.	The hon  Gentleman refers to a recent organised operation undertaken by Customs, trading standards officers and the police.	same	FALSE	0	1	1	1	1
3610a6ed5edb2d6b3daf03f6cdc1f6cb	513552062175cb9d954c3491bd88d93a	21a6dbea572abb6669eb466b5095b21c	However, the world has not become good overnight and it is at present no less dangerous.	I think losing sight is probably one of the worst things that can happen to anyone.	text2	FALSE	-1	2	2	4	4
36af0ccf889dedeec74d0713efc3b4bd	13d554c3586263920494a805d04fc14c	a70bc8d73803da1276d455cd4fc0e7f4	The situation has started to get better but it is very bad, and rather like her dreadful party it will take a long time to get better.	It is impossible to underestimate the stress and anxiety that is caused to entire families.	text2	FALSE	-1	3	3	4	4
4922388ab97beafa676c795abed9348b	f5b796a6c277632b922d4cc5ac9bbf82	3608e0d1b3acc6ecaf1316a185f4fb63	In Yorkshire, that will mean having a station in Bradford as well as Leeds, which is well worth supporting.	It therefore wants the budget for 2014 to 2020 to include sufficient funds to put an extra  euro 50 billion into a connecting Europe facility.	text1	FALSE	1	3	3	1	1
4af5a68f83134690d9eb02fc76c1519c	8bcef2492b3daaa51158efc1c60be675	e4ec2d1f8f73c4442a93a7cb6c9b7ebd	New clause 7 seeks to bolster the maintenance of law and order - I think everyone would generally agree with that - and would make it easier for the regulators and the banks' compliance teams to do their jobs.	These doomsday scenarios could become the reality for many people's lives, despite none of us in this room wanting that to happen.	text2	FALSE	-1	1	1	3	3
4bf6ec2119a676859171669c46044e28	5cc21b7292161fff26a22314d8d323b1	3411b1c224e8d96037169c2aa89b70eb	We still believe that it will never happen to us, and that death is an awesome and frightening thing.	It is time that we asked the Department for Transport to collect further evidence so that everyone can have an input.	text1	FALSE	1	4	4	1	1
4c550e8ef463111f9c9f96ce98e26b23	45c60693df7a3c4463e4286e91a7892a	f21a0c3fdf21ba367ab8111e511db0f1	However, there are profound social consequences when, for whatever reason, families fail.	People may wonder why Members of Parliament become especially passionately involved in a particular cause.	same	FALSE	0	4	4	4	4
