pair_id	text1_id	text2_id	text1	text2	label	metadata__intercoder	metadata__comparison	metadata__intensity1	metadata__intensity1_num	metadata__intensity2	metadata__intensity2_num
01f8fe36af5139d264afb2018975a3ae	d7be1c4d264b998ebd95b4f293c63ffb	e24676405fbcf7c60a2db96932b04a76	The then Chancellor, Norman Lamont, raised interest rates during the day from 10 per cent. to 12 per cent. and then to 15 per cent. and authorised the spending of billions in an effort to keep the pound in the range allowed by the exchange rate mechanism.	Let us take a more important figure - the estimated saving from new mortgage holders after 1 October.	text1	FALSE	1	5	5	1	1
02100454563bae3b79951149371fcbac	8219f91894a7975262e5486da2804638	752693a63adc7a84285c66b370f45423	Hundreds of pounds added each year to the cost of getting about in London will make a significant difference to household budgets.	That comes on top of a real increase of almost two thirds in local authority social services spending since 1979.	text2	FALSE	-1	NA	NA	NA	NA
060fce4b47c24c9d4c3ed905cb39730e	48785e6eef24507434358928e52d8999	d6c54f1f0a2e9ecaf1eefc6f06185bda	Sometimes, people are so keen to avoid saying the wrong thing that they say nothing at all.	May we have a debate on capital investment in schools,  particularly considering that the current scheme is achieving better value for taxpayers than previous schemes and that capital is being used to provide the extra school places we need?	text2	FALSE	-1	1	1	3	3
0884c48b78e0fddfd2c174d5654c96e6	d795ac94383022ba3d3a982252072e66	08677f32ec2146695d61784226b80af5	Furthermore, Jobcentre Plus has added £5.5 billion to UK GDP since its introduction.	Organised crime does not stop at the border, and the European arrest warrant is a vital tool in modern policing.	text1	FALSE	1	NA	NA	1	1
09c4076c75a59339b9bc319ece6bf1d8	4460723bea5e350936088e3ef70626bf	93556acde5c9903530da9defcce4ab77	The United States spends 2.72 per cent. of its GDP; Japan spends 2.93 per cent.	We will all have had in our inboxes this morning a letter from Liberty.	text1	TRUE	1	4	4	NA	NA
129890d332bca5de0bf51e3318597390	6c0c33226eaebdcb91f7249321aa181b	250620fa287692cf6e3ad2966656ee94	I know that there are people observing our proceedings today who have also recently lost loved ones through similar terrible tragedies.	Although there are examples of good practice within magistrates courts - I would, for example, commend the South Gloucestershire petty sessional division - magistrates frequently make unreasonable demands for sums of £5 or £10 a week from people whose total income is not much more than £50.	same	FALSE	0	1	1	1	1
13bf795ea2451ef4261993725a8352b0	11b71bc2ce2509ac97eafb9f25af9164	b0c1356ab07fbd19dcf9d72a2c8cd939	The West Lothian question means that the Government want to have two classes of Members of Parliament, not British-United Kingdom Members of Parliament who speak on everything because we have been elected by our electors to talk about the United Kingdom - every part of it: Northern Ireland, Scotland, Wales and England.	The tax take has risen from £270 billion per annum to £403 billion, which equates to £5,500 per household per annum.	text2	FALSE	-1	1	1	5	5
1466bcd0d61263b0a8b713d4ef81da00	d40605348e703d3884bfbddb3ace269c	4743f5b167217fa18c5f991e70cbeb95	However, I am wary of giving a blanket endorsement to what he described as   inevitable provocation.	At Rochester, they get three and a half hours, and at Reading five hours.	text2	TRUE	-1	1	1	3	3
1515c70e1983a83bc4577296cb87809f	47638c85c109f50a1d59c08793a926a4	55a70ca90b05a5a8ebd42894df00f0b0	If the UK had the same unemployment rate as France, unemployment would be nearly 1.5 million higher.	A similar mistake to which, unfortunately, the scheme has already been subject, is the false economy of eliminating necessary and desirable elements so as to reduce the cost.	text1	TRUE	1	4	4	NA	NA
15602c86c23d3571aa2c50bf0393ded6	e37e58a4628672e3119eed18b64dfbce	1606910f95a5f0aeca7de3928ff14c55	Total welfare spending has increased from £132 billion 10 years ago to £192 billion today.	Despite an increase since 1993, temporary jobs represent only a relatively small proportion of total United Kingdom employment.	same	FALSE	0	5	5	5	5
