pair_id	text1_id	text2_id	text1	text2	label	metadata__intercoder	metadata__comparison	metadata__intensity1	metadata__intensity1_num	metadata__intensity2	metadata__intensity2_num
0082a2614d8142b3fc738aa3ff354f3d	c2aea06a59aef8f95ef37cb736e49fa7	fe1d6bfe1a0b93ee73d0ffde134796d7	Just a moment ago, the hon  Lady mentioned that women looked after young people and were carers for elderly people as well.	In another, an Australian lady is unable to get her daughter back from Germany although the German father died last October.	same	FALSE	0	NA	NA	NA	NA
073b360fcf6e72507b199c435b3c953a	f2fc32f2695a08806f6e7329c9045b3c	5fcc048de0be0aecb6e1b16548d86c95	The murder convictions of Mr Banfield's wife and daughter were overturned in July last year.	The purpose of clauses 19 to 28 is to allow action against specific premises, where there is continuing offending or where offending has occurred in the past 24 hours.	text1	FALSE	1	3	3	1	1
099550bc204e534477004751b34d43f2	b8fd78c06f183b59d8dcec6ad7cfc625	af7b6de5c92ae7b2b1b1919195a5a1e7	Such systems convert grain to meat in conditions that are very dubious in terms both of animal welfare and of environmental impact.	I repeat to the hon  Lady that I said that there was no simple link.	text1	FALSE	1	2	2	1	1
12d1dddb37d436b720253783d24fff05	af4285f1adbb78f8653b09f89c403fa9	944e0752e8139f3e87d15af0b732827d	The Bill focuses on three key areas: reform of the economic regulation of airports, a range of measures giving the CAA a role in aviation security and in the reform of its own regulatory framework, and reform of the air travel organisers' licensing scheme to improve the protection of passengers.	It would mean local authorities deciding at an individual level whose support needs would or would not be met.	text2	TRUE	-1	1	1	2	2
14c9f97589df6af9991fa6f3a9423789	d1fed0661ecc7898639d58ec65776b74	b80f49df9be1a52478a095bfebe80ecf	It is equally true that things were being done in the health service in 1997 that were not done in 1987.	I hope that you will not answer today, because it is an important question.	text1	FALSE	1	2	2	1	1
17e0692e9a7237d22432b9dfb093aaa0	a1ccfaff641f68a0072476bd3f38b51d	d28c44f2464930ee95bae9c210e4c841	The hon  Gentleman may recall that the Government's green house programme has been called off, good though it was.	I got an email yesterday from Mrs Smith - let us call her Mrs Smith - of Rawmarsh.	text2	TRUE	-1	2	2	NA	NA
25a71cea48469aecdbc0c3ebb15ed7c6	0caac61dc647a9ba9d70c5fe955b875d	a27abafc600e4f2627545604e56192aa	We took another delegation on 5 March 1992 to meet the noble Lord Ferrers.	May I also associate myself with the remarks of the hon  and learned Member for Harborough  ?	same	FALSE	0	2	2	2	2
29ac6b4b24b9d3edb6e4564a848718a1	a758627c1ad9d5af3652d312cafc3abf	db99d6b12fd0f52400426fda56060675	In Moldova, the continuing presence of the 14th Russian army is encouraging the Russian-speaking population to resist the realisation of Moldovan statehood.	My hon  Friend  the Member for East Devon    rightly paid tribute to Sir Peter Emery whose wise words we miss.	text2	FALSE	-1	1	1	NA	NA
2a4e7dfa1adec6348775e0911ff40859	dad1e4a804803fb397c6da3c85b7610f	15232c68a48ae1515ca228bded3d3c20	Another terrible tragedy was the death of Christopher Smith, who was only seven years old.	If anything, the misuse of cannabis is dipping; it is going down.	text1	FALSE	1	5	5	1	1
2cb16cd431ef4ae822be12252e8cadfe	6de83901f87600c6b50a2fbb8644df07	b7a7c41777055516af9d4c772c254fcd	The next source of attention may well be a policeman coming in to ask for a statement about the terrible things that happened to them in the children's home 10 years ago.	I particularly wanted to get that on the record; sometimes our staff do not get thanked enough.	text1	FALSE	1	3	3	NA	NA
2fa74c1d7c4d17b8d3707315d343699d	b247d1f0f4b1dfbd77615c6b78b45fb2	97c40cd56e125779ad434852dbc5d7a3	In the first three weeks alone, 5,300 young people were invited for interview.	I want to put on record exactly what else has happened to the 2.5 million account holders.	text1	FALSE	1	NA	NA	NA	NA
