pair_id	text1_id	text2_id	text1	text2	label	metadata__intercoder	metadata__comparison	metadata__intensity1	metadata__intensity1_num	metadata__intensity2	metadata__intensity2_num
019fb974660061f55827acafc1fd446d	21893995ed711fcfb541fc9b3ba851d1	4a99ccc6ea888f0944445d7a8bdc1910	It will give councils the authority to make plans now for local celebrations, providing for street parties, carnivals and special events to take place without the tiresome bureaucracy that can so often get in the way.	Victims are embarrassed when they find out that they have lost all the money.	text2	FALSE	-1	1	1	3	3
032cbd76fc27c3c75759c16e291fc8da	822c35733fa5d644e387ea0a4356e4a2	6ad6b94d55cce6ccf2e7cf64196a89e2	As my hon  Friend suggested, it can only lead to fraught and unhelpful situations.	Understandably, they are often too frightened to come forward for fear of reprisals.	text2	FALSE	-1	3	3	4	4
03bbdb26204132c1536139fcea61a758	c2e3dfbc0ca0dbefa21c7862c8f84a83	8858d64fef564a156188c9433ebbcd7e	I remain profoundly disturbed by this part of the Bill and I fear that injustice may result from  it.	When we come down here, our families are fearful for our safety; when we are here, we fear for our families' safety.	text1	FALSE	1	4	4	2	2
058141966e4512c93dbcf97efad2abcf	0736b06da810075ed0842b6a0b981e6e	c3cbea3674969266f89642091f901ee9	It can put undue pressure on people who sell pensions, and that can have unfortunate consequences.	Partners often have strong feelings of anger, or helplessness, or betrayal, or shame.	text2	FALSE	-1	2	2	5	5
1157c9ed339afa2e92ed2240abb5d985	cc0e0e6e227fa7ff65d6b46117d97f26	e78a98984fbc0ea9644e97049ff55145	There have been scenes of complete carnage on the streets and the strike has been a grotesque inconvenience.	My constituents live on the front line of the war against crime, and my constituents and I do not need lectures from Conservative Members about how frightening and demoralising it is to live in an area of high crime rates.	text2	FALSE	-1	4	4	5	5
13cf43a6213842a0d9f4f11535fd402f	377b87f5566c3cea036a0c71cd62e637	8590b5275fb87d51de954330895e711e	Of course, understandably, they feel deeply about the injustice that they believe they have experienced.	Agreed administrative machinery could remove the frustrations and distress caused by the delaying tactics used in this case.	text1	TRUE	1	NA	NA	4	4
1471f524ee081c9ad937d280ab9eff7f	69f3853742f6c0b42a831b736c5a35c1	f3a03677d3869ba6dd6680eac7e284bf	I am suspicious about the delay that will be caused by throwing the existing planning system into the air and having to build a new one at considerable expense.	But I found it deeply offensive and I believe that many of our fellow citizens found that statement deeply offensive.	text2	FALSE	-1	3	3	4	4
15cc9501a639e00c5374bb3fe034d8ed	0e8a95bdccfdbc97a70bda491be21770	a87365e33a92e0bdef5f00e6b64be3b5	We are also concerned about the fact that the future uprating of the basic state pension, which is supposed to be done on the basis of earnings, will be done on the basis of an earnings index that the Government are determined not to include in the Pensions Bill, so that this Government or a future Government could pick and choose the earnings index that they want to use from time to time.	A Surrey cattle farmer had his herd disturbed on a number of occasions, causing severe distress to many of the cattle.	text2	FALSE	-1	1	1	4	4
16411e993f37bc7a9ea7df07e9890902	e11f6693a3e9bbb509417f1f0817b9a7	353c45befd8f03a64893242d60d7d76c	Tragically, that incident occurred in Dunblane, but it could have happened anywhere.	Often, the victims' families leave court feeling that they have not had their genuine concerns assuaged.	text1	TRUE	1	3	3	NA	NA
165f4be4befdfd9d3edcaa30c0aa8ba1	3a712460a10d4c11137bcc4c8b3eb6f1	dc3fa279a30b7506a20319c86ea37444	Difficult and painful decisions have already been made that were forced on IGER's management by DEFRA's funding decisions.	Who can blame desperate parents for wanting to escape the horror that their families are experiencing?	text2	FALSE	-1	2	2	5	5
