pair_id	text1_id	text2_id	text1	text2	label	metadata__intercoder	metadata__comparison	metadata__intensity1	metadata__intensity1_num	metadata__intensity2	metadata__intensity2_num
02d5dea3309c367e6fc1c5a76ebb835a	2ed415fe3413c15c68074938aaf2e58e	e292094fed3d2a67ff88d93484949cee	I should like to say a very quick word on the Main Committee - a subject that deserves a debate on its own on another occasion.	It would be nice occasionally to hear some praise for British Coal Enterprise from the Opposition.	text2	FALSE	-1	2	2	4	4
089f5ecf6411b81e6052569db62ab05f	3b0d80ff52f87e987047ba4f23ea786b	9849065050c309d75a52c0a7900e8698	I would be delighted to meet the hon  Lady and hear more about the case she sets out.	I am thinking of calling for counselling to cheer up the members of my team.	text1	FALSE	1	3	3	1	1
098f0ff6ab9dd2059186ad031e157106	2af931ea93b8ee607cd8102f0c832a8b	c04168c61ab8a0c167d60392eeab1c62	I say in a humanitarian spirit, calm yourself, and let us hear the ministerial reply.	I congratulate  the hon  Member for Gower    on securing this debate on the arms trade treaty.	text2	FALSE	-1	1	1	2	2
0bd0fea12555e6aeed928331e37b0348	8366965dfe00844b18a8c4a0b768fa4d	f04499f7585d1222c68b3fd8c889d871	That would be a harmful development, and I hope that the Minister will assure me that the Government do not intend it to happen.	I am pleased that the order before the House has been toned down a little by the Minister, but there remain matters of great concern.	text2	FALSE	-1	1	1	2	2
0d079e5247db2abd791588aceec4fa46	bf80b907b502c5d0cf0bf8a6344694d2	d4a166e298b3a2901f9a3466e0e68b1b	I have listened with great care to the passionate and sincere speeches of the two Glasgow Members.	My hon  Friend makes a good point, but it rebounds slightly on the Defence Committee because we have been told that we are responsible for applying for such debates and, I have to confess, we have not done so in recent months, so perhaps we ought to revisit that.	text1	TRUE	1	NA	NA	1	1
0de6771955257e0f362e1e8cd39059b0	ab132c5234486a9ac08a2f66a8da7abc	978580e84b7225323eeb97372300ba85	I can hear the delight and joy as hon  Members behind me recall that wonderful occasion, but the achievement of Stormont is that it has achieved some form of reconciliation.	I compliment the hon  Member for New Forest, West   on his excellent maiden speech.	text1	FALSE	1	3	3	2	2
0e3c9a3bfe6f6cbbf646c6be6c7a051b	07e0d1c1892c42cfdf271b3aa35cab89	12007948ba4c4f4905d397034aad08d5	It has been a pleasure to listen to such fine maiden speeches this afternoon.	I always worry when Ministers smile at Opposition Members as though we had a screw loose.	text1	FALSE	1	5	5	2	2
11f4fccc502a967515839003f182005d	330569e29fa21a14e210c630c279a8f5	c03c45ce4ed31140bc0bb196d483f561	The Queen Mother greatly enjoyed and showed great enthusiasm for all the events of that day.	As they had made a democratic decision, they would wish to revisit it, as would the members of any party, once the system had been changed.	text1	TRUE	1	NA	NA	1	1
139be331875d5a6f5ee7881b206694b9	de6fb2cf237d7c8de02f3fcf188f3753	039ec77afa3a7eeb3cc2923deeefc968	I have enjoyed today's debate, almost as much as I have enjoyed watching the permanently confused faces of the Ministers.	I know that the Secretary of State has already visited Airedale general hospital to see its telemedicine service.	text1	FALSE	1	5	5	1	1
14a1e0eef153cf4ec6e0cc9879210527	047789a5579d9adae8b30abaf3aec587	9a6de47c7093abd90c5418f9d4690002	This has been an interesting and informative debate and I have enjoyed it immensely.	There is a problem, but perhaps the Minister has a good answer, in which case I would be more than happy to hear it.	text1	FALSE	1	5	5	1	1
