pair_id	text1_id	text2_id	text1	text2	label	metadata__intercoder	metadata__comparison	metadata__intensity1	metadata__intensity1_num	metadata__intensity2	metadata__intensity2_num
0058f86b8f5d3bdea8db83f6843a1d73	e1fbf40470417cacc99c5c6aa963d7c2	7990532bba770b7915353356beb98598	I notice that, in considering the Chief Secretary to the Treasury, the right hon  Member for Enfield, Southgate  ,  The Guardian  has blown the gaff:  Why not, then, give Mr. Portillo a proper, grinding job?	After the treaty is passed by the House and another place -      Is the right hon  Gentleman saying that if or when the treaty is passed by this place and another place, and in the strange circumstances in which he might one day be Foreign Secretary, he would hold a referendum on a treaty already passed by the House?	text2	FALSE	-1	NA	NA	NA	NA
015c021422fc4ff05f6b5e89d815191d	5f16f36ad23d63400593d1f3512d6ee7	133ae3e55cb4aeb685f76b2a9c252f2e	The report shall include, in particular, information in respect of the relevant period on -     the number of first-time buyers benefiting from the relief,    the number of purchases benefiting from the relief,    the average age of first-time buyers benefiting from the relief,    the effects on the operation of the private rented sector,    the effects on council housing and other social housing,    the effects on the supply of affordable housing, and    the effects on the operation of collective investment schemes under Part 17 of the Financial Services and Markets Act 2000.	Undoubtedly the most unsettling part of the text is in article 100, which reads:  ""Without prejudice to any other procedures provided for in the Treaties, the Council, on a proposal from the Commission, may decide, in a spirit of solidarity between Member States, upon the measures appropriate to the economic situation, in particular if severe difficulties arise in the supply of certain products, notably in the area of energy.""	text1	FALSE	1	4	4	NA	NA
018da905fd2746de616d986133c70cb4	49839430e9a071ea03bd8052297167d0	12572d6933b5b9e59146122e3b18d762	That would not only reduce the food miles and manufacturing miles that result from products coming in from China on ships and aircraft, but would be good for Britain and its manufacturing industry.	As there will be only a small number of such children in an individual local authority, the first stage is to map where the provision is so that local authorities can work together more closely and find suitable places, if necessary outside the local authority area, for the small number of children with high levels of need.	text2	FALSE	-1	2	2	3	3
024a07fc69cb68cf8d6e3c80fe1555d9	ce14006eeebd8f43be7d83e505a52bc7	7628f51037963ffc79fe6a998d67f8e9	I can now inform the House that 37 Squadron RAF Regiment based at RAF Wittering will disband by March 2006, that 16 Squadron, based at RAF Honington, will disband by March 2007 and that 15 Squadron and the RAF GBAD wing headquarters, which is also based at RAF Honington, and 26 Squadron based at RAF Waddington, will disband by March 2008.	There are nine grant-maintained schools in Dartford - the Dartford grammar school for boys; the Dartford grammar schools for girls; the Wilmington grammar school for boys; the grammar school for girls, Wilmington; the Horton Kirby primary school; the Sutton-at-Hone primary school; Wilmington primary school; the Holy Trinity Church of England primary school; and Our Lady Roman Catholic school in Hartley.	text2	FALSE	-1	4	4	5	5
02f3368ac37741ae8f9301aaf3947c3e	cdf1e12e11258f7efefaa2e94b46c38a	497263c07589000aca908be82d63a7f2	Output options and share options can be hedged against different currencies and I surmise that the present fall in the stock market is indirectly caused by margin calls on derivative contracts in the United States.	If an annual report is to be published, will the Government show, under the countryside section, how many farmers have gone under in the past 12 months, and the average income of farmers; how many post offices have closed in the past 12 months, and how many are expected to close when the social security payments are changed; how much extra petrol tax people living in rural areas have paid over the past 12 months; and how many rural schools have closed over the past 12 months?	text2	TRUE	-1	2	2	4	4
041de7e6d49727af406c366044cf1dae	e3330ccfbf73a087ac4637e2df0a627a	c91116b5e787cc1ef2c7c83de0cb5bc5	France is not copying Conservative economic policy; Germany is not copying Conservative economic policy; the current Administration in America are not copying Conservative economic policy and the future American Administration are not copying Conservative economic policy.	I have every sympathy with their search for answers and explanations, and I would use this occasion - as no doubt the hon  Gentleman would - to urge them, if they  have suspicion about this, to approach their health authority, which has, in any case, just commissioned a statistical survey of the incidence of birth defects in the area covered by the trials.	text1	FALSE	1	NA	NA	NA	NA
048ef4d4b63d813e7b1bca81a24dfb26	787426b54b555eee2178fe12197e11f2	bbdc6c09e0163910a40678180f6c8101	122B , line 9, leave out ""Select Committee on Public Administration"" and insert ""Public Administration and Constitutional Affairs Committee"";    In  Standing Order No. 143 , line 69, leave out ""Select Committee on Public Administration"" and insert ""Public Administration and Constitutional Affairs Committee"";    In  Standing Order No.	It refers to  ""representatives of fire and rescue authorities or organisations representing fire and rescue authorities"",  and to  ""representatives of private sector employers or organisations representing private sector employers"".	text1	TRUE	1	NA	NA	NA	NA
0987b00ace8dcfe555fcd74fe55e4eee	660edb744a85b8f0e300c132df1c95f8	d409dd30a44950fe1f2092afbb5fbef3	It is right that when people decide, for reasons of jealousy or whatever else - misogyny is sadly all too common still - that they cannot accept a democratic result, they cannot then behave in a manner that goes totally against the spirit of democracy and living in a free society.	In section 75   in subsection  , paragraph  , after the words ""the Society of Friends"" there is inserted ""or of an approved organisation""; and in subsection  , paragraph  , after the words ""the Society of Friends"" there is inserted ""or of an approved organisation."".'.	text2	FALSE	-1	NA	NA	NA	NA
17bc75b51d87c92f0d1617a5ba8044ec	19ce56b3178944d823cf69c2ce695378	cb4fc1545ba96ec9f40ac529192db29b	I will come to that later, but for now let me just say that students who come from overseas to this country genuinely to study should not in my view be properly understood as migrants, in the sense that they come here to stay and settle, that by being in this country for a given period of years they somehow acquire rights to stay that they did not have at the outset, or that they are somehow the source of political anxiety about immigration-they are not.	All that would have been different if the Secretary of State's predecessor had implemented a pledge that he gave the House in March 1993:  to establish for the first time a police authority for the Metropolitan police on the new national model separate from the Home Office and with essentially the same tasks as police authorities elsewhere."" -      Six weeks after the Home Secretary made that statement, there was a new Home Secretary, and six weeks later there was one of the fastest U-turns on records.	same	FALSE	0	4	4	4	4
1aff5cdd9cb60e66e202ff7d6a940e32	7804b57b54ed56d330ef70aa66260feb	e9e7996a17bae93368a6ceb3eed0be8f	I cleave to the view that the Standing Committee procedures - whereby Ministers can be questioned and a debate can take place - have a good deal to commend them.	Where personal care is provided at home as part of a package of continuing care that it falls to the local authority to provide, there is no reason why the local authority should not be required to provide it free in the same way as personal care that is not provided as part of a package of continuing care.	text2	TRUE	-1	NA	NA	3	3
