uid,text,label,metadata__tweet_id,metadata__row_number
4993,"! S tOP !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami x1058",0,5.79912E+17,4993
4994,"! S tOP !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami x1077",0,5.79912E+17,4994
5096,"! S tOP !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami x1132",0,5.80401E+17,5096
5097,"! S tOP !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami x1140",0,5.80401E+17,5097
5098,"! S tOP !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami x1144",0,5.80401E+17,5098
5099,"! S tOP !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami x1211",0,5.80403E+17,5099
4959,"! S tOP !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami x829",0,5.79735E+17,4959
4960,"! S tOP !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami x832",0,5.79736E+17,4960
4961,"! S tOP !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami x849",0,5.79736E+17,4961
4965,"! S tOP !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami x955",0,5.79739E+17,4965
4966,"! S tOP !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami x958",0,5.7974E+17,4966
4969,"! S tOP !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami x982",0,5.7974E+17,4969
4970,"! S tOP !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami x985",0,5.7974E+17,4970
4972,"! S tOP !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami x990",0,5.7974E+17,4972
4895,"! Stop !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami  x624",0,5.79561E+17,4895
4896,"! Stop !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami  x634",0,5.79561E+17,4896
4900,"! Stop !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami  x794",0,5.79567E+17,4900
4902,"! Stop !
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami  x808",0,5.79567E+17,4902
4849,"!STOP!
Erfüllt @SamiSlimani seinen Traum und votet für ihn mit den Hashtags #KCA #VoteSami  x 479",0,5.79377E+17,4849
