docnames,old.docnames,instance_id,speaker,party,date,agenda,text,EU,CAP
46054,text1153950.1,48356,James Arbuthnot,Con,29/01/2009,Armed Forces Personnel,I suspect that the same would not be true if the Chinooks descended upon my hon.,0,16
76542,text1157373.1,79956,Geoff Hoon,Lab,12/02/2009,New Trains (Investment),I should be delighted to send the hon.,0,10
154448,text1165848.1,161430,Bridget Prentice,Lab,24/03/2009,Coroners and Justice Bill,"It is for that reason that I hope Members will wholeheartedly give the Bill a Third Reading, and I commend it to the House.",0,3
197795,text1170164.1,206618,Angela Eagle,Lab,23/04/2009,Amendment of the law,Member for Sevenoaks (Mr. Fallon) made his usual robust speech.,0,99
224399,text1172841.1,234218,Peter Luff,Con,06/05/2009,Finance Bill,"I missed some of the speeches that followed the opening of the debate, but I am afraid that I was receiving the award of an Industry and Parliament Trust fellowship- I am grateful for the approbation of the House, and I commend the organisation heartily.",0,99
256640,text1176120.1,267318,Alan Campbell,Lab,19/05/2009,Policing and Crime Bill,The definition of an offence“of a violent or sexual nature”may be too vague.,0,12
293626,text1179882.1,305800,Russell Brown,Lab,10/06/2009,Dissolution of Parliament,My hon.,0,99
301911,text1180486.1,314369,Gordon Brown,Lab,15/06/2009,Iraq,"Obviously, the inquiry will look at the events from 2001 onwards.",0,19
306445,text1181099.1,319219,Tobias Ellwood,Con,16/06/2009,European Affairs,Will the hon.,1,99
306783,text1181128.1,319659,Bill Cash,Con,16/06/2009,European Affairs,"Members read the speeches of Václav Klaus of the Czech Republic, they will see that he speaks exactly the same language.",1,19
371767,text1188241.1,387222,Gordon Prentice,Lab,13/07/2009,Political Parties and Elections Bill,The Member for Huntingdon (Mr. Djanogly) raised a few canards earlier.,0,20
392794,text1190680.1,409199,Paul Burstow,LibDem,21/07/2009,Summer Recess Adjournment,Member for Canterbury (Mr. Brazier) is one of the hon.,0,99
445475,text1196802.1,464270,Bridget Prentice,Lab,02/11/2009,Perpetuities and Accumulations Bill [Lords],The hon.,0,99
504995,text1203623.1,527253,Gisela Stuart,Lab,03/12/2009,European Affairs,"I will, but only this once.",1,19
568030,text1210772.1,592796,Tony McNulty,Lab,18/01/2010,Crime and Security Bill,I told John Humphrys-I think that was the interviewer-that I had some sympathy with the report's logic.,0,12
580604,text1212423.1,605922,Vera Baird,Lab,21/01/2010,Violence Against Women,The hon.,0,99
609644,text1215770.1,636182,Stephen Hammond,Con,03/02/2010,First Capital Connect,My hon.,0,99
613781,text1216259.1,640517,Anthony Steen,Con,05/02/2010,Anti-Slavery Day Bill,That was a little aside.,0,99
620160,text1217228.1,647285,Daniel Kawczynski,Con,09/02/2010,Constitutional Reform and Governance Bill,The hon.,0,99
620607,text1217281.1,647755,Christopher Chope,Con,09/02/2010,Sunbeds (Regulation) Bill [Money],My hon.,0,99
638476,text1219315.1,666543,Ian Pearson,Lab,24/02/2010,Property Taxation,As the hon.,0,99
644439,text1219952.1,673041,Christopher Chope,Con,26/02/2010,Lisbon Treaty (Referendum) Bill,Does the hon.,1,99
667864,text1222887.1,697327,Kevin Barron,Lab,10/03/2010,Alcohol,The hon.,0,99
674071,text1223649.2,703976,Adam Afriyie,Con,11/03/2010,Sustainable Communities,Far be it from us in the House of Commons to challenge the wisdom of magical software-even though I spent 20 years in the industry!,0,14
677891,text1224075.1,707965,Nick Harvey,LibDem,15/03/2010,Defence in the World,If the hon.,0,99
699348,text1226598.1,730423,David Cameron,Con,24/03/2010,Budget Resolutions and Economic Situation,Pitiful.,0,99
750585,text1231799.1,784243,Andrew Stunell,LibDem,08/06/2010,Housing policy,My hon.,0,99
762720,text1233224.1,796895,David Cameron,Con,15/06/2010,Saville Inquiry,The hon.,0,99
767122,text1233748.1,801579,Vincent Cable,LibDem,16/06/2010,Industry (Government Support),My hon.,0,99
806010,text1238398.1,842143,David Heath,LibDem,01/07/2010,Business of the House,Members.,0,99
878917,text1248093.1,917598,Ed Vaizey,Con,07/09/2010,Public Libraries,My hon.,0,99
947932,text1257429.1,989800,David Cameron,Con,27/10/2010,Engagements [Oral Answers to Questions > Prime Minister],"I know that Labour Members do not like the answer that we are sticking to our plans, but we are sticking to our plans.",0,99
960012,text1259159.1,1002569,Peter Luff,Con,01/11/2010,Aircraft Carriers,"Once again, I congratulate the hon.",0,99
1004839,text1265465.1,1050109,George Young,Con,18/11/2010,Business of the House,"On happiness, my hon.",0,99
1010551,text1265942.1,1055978,Bob Russell,LibDem,19/11/2010,Holidays (Low-income Families),"Friend the Member for Torbay (Mr Sanders), which is headed “Impact of Spending Cuts on Seaside Resort Economies”.",0,1
1033997,text1269461.1,1080538,Michael Dugher,Lab,30/11/2010,Local Government Funding,As my hon.,0,99
1114592,text1280434.1,1166253,Charles Hendry,Con,19/01/2011,Fuel Poverty,As the hon.,0,13
1149384,text1285302.1,1203673,Kelvin Hopkins,Lab,02/02/2011,Court of Auditors 2009 Report,I believe that we have a kind of common sense.,0,1
1154245,text1285927.1,1208744,Tom Brake,LibDem,03/02/2011,Legal Aid Reform,"I think that Members on both sides of the House regret the decisions that are having to be taken, but it is incumbent on Ministers and Members on this side to come forward with solutions.",0,12
1162416,text1287039.1,1217331,Andy Burnham,Lab,08/02/2011,Education Bill,"Conservative Members cheer him, but will they still be cheering in a moment?",0,6
1188263,text1290584.1,1244416,Mark Harper,Con,16/02/2011,Parliamentary Voting System and Constituencies Bill,"It may have been something I agreed with, but it meant that that issue festered for another decade.",0,20
1235206,text1296908.1,1294115,Anne Milton,Con,15/03/2011,National Blood Service,Friend the Member for Colne Valley (Jason McCartney) has donated blood himself.,0,3
1249428,text1298890.1,1309196,Diane Abbott,Lab,21/03/2011,United Nations Security Council Resolution 1973,It is not a blank cheque.,0,19
1280359,text1302954.1,1341655,Theresa Villiers,Con,31/03/2011,High-Speed Rail,That may be the source of the hon.,0,10
1305435,text1305876.1,1367939,David Cameron,Con,03/05/2011,NA,Members� questions.,0,99
1343019,text1310579.1,1407476,Greg Clark,Con,17/05/2011,Localism Bill,I know that a lot of Members want to speak.,0,99
1358200,text1312745.1,1423584,Jo Johnson,Con,24/05/2011,Eurozone Financial Assistance,Will the hon.,1,1
1426294,text1321629.1,1494423,Norman Baker,LibDem,29/06/2011,Local Rail Services (Bristol),Members' support for that project today.,0,10
1504221,text1332895.1,1575783,Barry Gardiner,Lab,14/09/2011,Energy Bill [Lords],The hon.,0,8
1520172,text1335189.1,1592551,Michael Fallon,Con,12/10/2011,Jobs and Growth,I hope that there might be agreement across the House on my next point.,0,5
1526438,text1335994.1,1599105,Stuart Andrew,Con,13/10/2011,High Speed 2,As the hon.,0,99
1528087,text1336118.1,1600838,CHAIR,NA,17/10/2011,GCSE Mathematics [Oral Answers to Questions > Oral Answers to Questions > Education > Education],We are grateful to the hon.,0,99
1568461,text1341963.1,1643518,Sadiq Khan,Lab,01/11/2011,"Legal Aid, Sentencing and Punishment of Offenders Bill",Does the hon.,0,99
1663185,text1354888.1,1744209,Jason McCartney,Con,13/12/2011,Empty Homes (Hyndburn),I congratulate the hon.,0,99
1686196,text1358033.1,1768406,Tom Harris,Lab,11/01/2012,Rail Fares,Perhaps the hon.,0,99
1739930,text1365470.1,1825035,Danny Alexander,LibDem,02/02/2012,Tax Avoidance (Public Servants),Member for Newcastle upon Tyne East (Mr Brown).,0,99
1753036,text1367192.1,1838699,CHAIR,NA,08/02/2012,Police,Members waiting to speak; they must take the matter up with others.,0,12
1793272,text1372379.1,1881360,Ian Paisley,DUP,01/03/2012,Northern Ireland Economy,No-that's why she's happy.,0,99
1856256,text1380731.1,1947653,Kenneth Clarke,Con,17/04/2012,"Legal Aid, Sentencing and Punishment of Offenders Bill",Members how far we have gone since we started the Bill-far beyond where the Opposition were first urging us to go-and we will go further in response to the debate in the House of Lords.,0,12
2122492,text1416012.1,2228365,Sadiq Khan,Lab,07/11/2012,Criminal Injuries Compensation Scheme,Or so one would think.,0,99
2122762,text1416060.1,2228635,Andrew Smith,Lab,07/11/2012,Criminal Injuries Compensation Scheme,My hon.,0,99
2153015,text1419936.1,2260582,Anne Marie Morris,Con,22/11/2012,Life-saving Skills in Schools,As hon.,0,99
2169907,text1422180.1,2279136,Philip Davies,Con,30/11/2012,Prisons (Property) Bill,That is very weak.,0,99
2190154,text1424838.1,2300418,Norman Lamb,LibDem,10/12/2012,Schizophrenia Care,I sincerely congratulate my hon.,0,99
2209043,text1427357.1,2320393,John Hayes,Con,18/12/2012,High Carbon Investment,The hon.,0,99
2220181,text1428623.1,2332109,Yvette Cooper,Lab,07/01/2013,Topical Questions [Oral Answers to Questions > Home Department],”.,0,99
2255709,text1433070.1,2369685,Mark Simmonds,Con,18/01/2013,Antarctic Bill,As my hon.,0,99
2280481,text1436782.1,2395651,Edward Garnier,Con,29/01/2013,RSPCA (Prosecutions),The hon.,0,99
2289036,text1438001.1,2405180,Stephen Hammond,Con,31/01/2013,Vehicle Registration Marks,"That may have been characterised in all sorts of different ways, of course, but I am happy to discuss the matter with my hon.",0,10
2324239,text1442991.1,2442908,CHAIR,NA,14/02/2013,Violence against Women and Girls [Oral Answers to Questions > Women and Equalities],It was.,0,99
2356913,text1446918.1,2477110,Alison McGovern,Lab,06/03/2013,Home Care Workers,"Friend the Member for Knowsley (Mr Howarth), my hon.",0,13
2424509,text1455251.1,2547673,Alex Cunningham,Lab,18/04/2013,Finance (No. 2) Bill,Some Members have chosen to talk about billions of pounds.,0,1
2438929,text1457167.1,2563285,CHAIR,NA,25/04/2013,Devolution [Oral Answers to Questions > Leader of the House],Member for Harlow (Robert Halfon).,0,21
2463629,text1460089.1,2589323,David Burrowes,Con,20/05/2013,Marriage (Same Sex Couples) Bill,"Members, seek the support of the House.",0,2
2474072,text1461681.1,2600276,Tim Yeo,Con,04/06/2013,Energy Bill,Members there are signs of enthusiasm for my amendment.,0,8
2480388,text1462354.1,2606923,Steve Pound,Lab,05/06/2013,Accident and Emergency Waiting Times,Member for Colchester (Sir Bob Russell) was risible.,0,3
2483808,text1462924.1,2610548,Paul Flynn,Lab,06/06/2013,Public Administration Committee Report (Charity Commission),You haven't read it.,0,99
