uid,text,label,metadata__row_number
885,"""@SenAngusKing has voted to sell arms to Saudia Arabia and those weapons have made their way into the hands of radical extremists."" #mepolitics",1,885
340,"""@SenDonnelly made the wrong decision on Justice Kavanaugh."" #INSen #IBackBraun

https://t.co/qvaJiTwoLE",1,340
334,"""After announcing he would oppose President Trump's highly qualified nominee, Donnelly has gone radio silent about Kavanaugh, proving he lacks the guts to reaffirm his decision to stand with Washington liberals and betray Hoosiers by opposing Kavanaugh."" - spokesman Josh Kelley https://t.co/3FvPJdvu1u",1,334
212,"""I'm Mike Braun - lifelong Hoosier, job creator, political outsider. I'm running for this because I'm fed up with business as usual in D.C."" #INSen #IBackBraun https://t.co/Mu4E2H9Ikg",0,212
411,"""I'm wondering how we're going to get medical costs under control when we have Senator Menendez defending one Florida eye doctor who over-billed Medicare by 73 million dollars...enough money to provide a year's coverage to 7,300 people""

READ MORE: https://t.co/asvAW6qQ5o https://t.co/AIXW7LSvx2",1,411
344,"""If Mexico Joe Donnelly voted against Justice Kavanaugh based on 'impartiality' and 'judicial temperament' like he said on Monday, Hoosiers deserve to know if Donnelly would join Senate Democrat Cory Booker in impeaching Kavanaugh,"" said Braun spokesman Josh Kelley. #INSen https://t.co/GW78Hf697g",1,344
566,"""Menendez’s corruption is indisputable: He took six-figures gifts and donations from his 'friend,' Dr. Salomon Melgen — and in exchange intervened with federal regulators who were trying to stop Melgen’s Medicare fraud.""

READ MORE: https://t.co/7WH1ZKHW6X https://t.co/VyPTq5b1dB",0,566
760,"""On behalf of my two granddaughters and all of our women and children in America  I thank you for being here  I thank you for this incredible agenda so #SheIsEqual can become a reality in the United States of America and around the world."" –@SenatorCardin #WEEEAct https://t.co/n9o9W7xfAF",0,760
341,"""Senator Donnelly is wrong on Obamacare, wrong on the Iran deal, wrong on Justice Kavanaugh."" #INSen #IBackBraun https://t.co/MXzOYv11jf",1,341
205,"""The 1% has never had it so good,"" but ""For most U.S. workers, real wages have barely budged."" That's not good enough. North Dakotans deserve an economy where workers aren't left behind. I'll keep fighting to make sure they can thrive.",0,205
768,"""The Senator also intervened for the doctor with the Department of Health and Human Services in a Medicare billing dispute that involved reused vials of a macular degeneration drug that put patients at risk of infection."" https://t.co/8WadOdbGjt",0,768
698,"""[Kavanaugh's] ideological agenda is well known...That agenda includes  for starters  a well-established hostility to women’s reproductive rights and a stunningly expansive view of presidential power and impunity."" #StopKavanaugh #WhatsAtStake https://t.co/NrYJWoTQut",1,698
970,#AlertFlorida is a way to receive emergency alerts and other public safety notifications in your community. Sign up here and consider sharing with your followers: https://t.co/Rsrv5DClsm,0,970
821,#BetoForTexas go out and vote!! https://t.co/K0Eg5KvSce,0,821
830,"#GaDems: Join us TOMORROW for “Women Get It Done”- a discussion and phone bank with @SarahRiggsAmico  @SenGillibrand  and @NikemaForSenate! <U+0001F9D5><U+0001F3FD><U+0001F469><U+0001F3FC><U+0001F477><U+0001F3FB><U+200D><U+2640><U+FE0F><U+0001F469><U+0001F3FE><U+200D><U+0001F527>

This is an event you WILL NOT want to miss.

Register here<U+27A1><U+FE0F> https://t.co/W3MZpU9mtv https://t.co/BnfuplvTBI",0,830
323,#ICYMI: Wrote an op-ed about Republicans providing alternatives to #ObamaCare that lower costs for families &amp; protect people from catastrophic medical bills.  https://t.co/gwYJlTO6Sm,1,323
257,#INSen FACT CHECK: Mike Braun gave his employees a bonus and lowered healthcare costs as a result of the tax cuts @SenDonnelly voted against. #IBackBraun https://t.co/6S8vX7Su4a,1,257
1056,"#Kavanaugh talked about joining a “team of nine.” In fact  he joins a team of five that reliably delivers big wins for the #Republican interests that had such a big role in his selection and confirmation.
https://t.co/6Tid3qQjMP",0,1056
912,#MAGA https://t.co/pLmzk4Aa16,0,912
882,#MSSen candidate  #DavidBaria @dbaria  will be in Columbus tomorrow  10/4  for a #TownHall https://t.co/67KElwGoyB,0,882
1143,#Mississippi Last Chance!  Get registration form (clerk’s office or online) fill it out &amp  carry it to have post office stamp it TODAY! Just Do It! @dbaria @espyforsenate @JerameyForMS,0,1143
83,"#NationalFarmersDay was yesterday — I’m so proud to represent an ag state like ND. But right now, our farmers are under siege from this trade war. There’s no doubt we should hold China accountable, but never on the backs of our family farmers.

https://t.co/MaglSJ7QAp",0,83
553,"#OnThisDay, one year ago, Senator Menendez stands trial for selling his office for a lifestyle he couldn't afford. #MenendezOnTrial https://t.co/BxDt70T2DX",0,553
747,#mepolitics https://t.co/FlOp2INdvP,0,747
