category	word
Occupations	Banker
Occupations	Carpenter
Occupations	Doctor
Occupations	Engineer
Occupations	Hairdresser
Occupations	Journalist
Occupations	Lawyer
Occupations	Nanny
Occupations	Nurse
Occupations	Plumber
Occupations	Scientist
Clothing	Blouse
Clothing	Briefcase
Clothing	Dress
Clothing	Necklace
Clothing	Pants
Clothing	Shirt
Clothing	Shorts
Clothing	Socks
Clothing	Suit
Clothing	Tuxedo
Sports	Baseball
Sports	Basketball
Sports	Boxing
Sports	Golf
Sports	Hockey
Sports	Soccer
Sports	Softball
Sports	Tennis
Sports	Volleyball
Music	Bluegrass
Music	Hip hop
Music	Jazz
Music	Opera
Music	Punk
Music	Rap
Music	Techno
Vehicles	Bicycle
Vehicles	Limousine
Vehicles	Minivan
Vehicles	Motorcycle
Vehicles	Skateboard
Vehicles	SUV
Vehicles	Truck
Food	Beer
Food	Cheesecake
Food	Hamburger
Food	Pastry
Food	Salad
Food	Steak
Food	Wine
Name	Aaliyah
Name	Amy
Name	Connor
Name	Jake
Name	Jamal
Name	Molly
Name	Shanicea
Name	Tyrone
