date,debate_subject,speech_id,speaker_id,speaker_name,speaker_party,speaker_role,chair,text,words
2020-01-23,Wuhan Coronavirus,a433.0,uk.org.publicwhip/person/11592,Sharon Hodgson,Labour,Shadow Minister (Public Health),0,"I thank the Secretary of State for an advance copy of his statement, and for updating the House this morning.
The coronavirus is indeed very concerning, and I am grateful for the work of Public Health England and the Department on it so far, especially in screening passengers on direct flights from Wuhan.
However, a passenger arriving from Wuhan yesterday said that he had gone through virtually no screening, but was given a leaflet.
Does the Secretary of State have any response to that?
Will flights from other Chinese cities, not just Wuhan, be monitored, and when does the Minister think monitoring might begin?
Will there be specific traveller advice for UK citizens travelling into China who have existing conditions that may mean they need to take more care?
As the Minister said, Public Health England has assessed the risk of the coronavirus being spread to the UK as “low”.
In the event of the virus spreading to the UK, are there contingency plans and funds to prevent further spreading, to deal with the scale of the problem?
As the Minister knows, we are in the middle of flu season, so I do not want to cause any undue anxiety, especially as—as we have heard—there are no cases in the UK at the moment, but can he please advise people watching who may be concerned about their own symptoms of what they should do?
We all know that the NHS has a tremendous record in responding to similar incidents, such as Ebola and monkeypox.
We can certainly be proud of our public health record in these areas and can be confident in how public health bodies will respond to this incident.
There is a chance that a global pandemic can be avoided if Governments across the world take the right measures in a timely fashion.
I thank the Minister for his update today, and would be grateful if he could provide some further clarity on all the points I have raised.",600
2020-01-23,Wuhan Coronavirus,a434.1,uk.org.publicwhip/person/14146,Anne McLaughlin,Scottish National Party,"Shadow SNP Spokesperson (Women), Shadow SNP Spokesperson (Equalities)",0,"It is obvious that the scale of this operation should not be underestimated.
Shutting down a city the size of London as it prepares to celebrate Chinese new year is an extraordinary undertaking.
What support has the international community offered to the Chinese authorities, particularly the health services, as they cope with this unprecedented strain on resources?
Some of my questions have already been asked, so I will just ask about the World Health Organisation, which is meeting today.
What communication have the UK Government had with the WHO?
Can the Secretary of State assure the House that the Government will remain updated, in real time, on developments and on what steps, if any, are required in the UK?
Finally, I have a number of Chinese constituents, as we probably all have, and English is difficult for many of them.
When we give information to Chinese communities in the UK, is it provided in different languages?",431
2020-01-23,Wuhan Coronavirus,a435.0,uk.org.publicwhip/person/25662,Afzal Khan,Labour,Shadow Minister (Home Office) (Immigration),0,"My thoughts go out to all the residents of Wuhan, Manchester’s sister city.
Sadly, the news of this outbreak could not have come at a worse time, as residents are preparing to celebrate the lunar new year.
What more can the Secretary of State do, in light of our expertise in coronaviruses, to support the Chinese Government?
We have a sizeable Chinese community in Manchester, so we should raise awareness in this country.",146
2020-01-23,Wuhan Coronavirus,a435.6,uk.org.publicwhip/person/25820,Munira Wilson,Liberal Democrat,"Liberal Democrat Spokesperson (Transport), Liberal Democrat Spokesperson (Health and Social Care)",0,"I thank the Secretary of State for the comprehensive update.
We know that scientists are already working hard to find a vaccine for this newly identified strain of coronavirus.
Given the importance of vaccines in combating serious diseases such as this, does he agree that education about vaccines is more important than ever in this age of disinformation?
What conversations has he had with colleagues to combat fake news on vaccines?",193
2020-01-23,Wuhan Coronavirus,a436.3,uk.org.publicwhip/person/13864,Jim Shannon,DUP,"Shadow DUP Spokesperson (Human Rights), Shadow DUP Spokesperson (Health)",0,"First, may I thank the Secretary of State for his statement and his clear commitment?
Throughout the United Kingdom of Great Britain and Northern Ireland, people like you and me, Mr Speaker—you are a type 1 diabetic and I am a type 2 diabetic—have a chronic disease.
Those who are diabetic and many others across the United Kingdom worry about the killer impact of this virus.
I note that the United States of America has diverted flights to specific screening areas.
I am sure that the Minister and many others in the House saw the news this morning, as I did.
On the flight that arrived this morning, there were three different opinions among those coming off the plane: one said that they had had no advice or discussion whatsoever; the second one got a leaflet; and the third one said that they had some tests done before they left China.
So it seems that mixed messages are coming out.
It is important that we have a clear policy and that everyone flying here and every person here feels assured.",691
2020-02-03,Wuhan Coronavirus,c42.1,uk.org.publicwhip/person/25120,Jon Ashworth,Labour,Shadow Secretary of State for Health,0,"I am grateful to the Secretary of State for advance sight of his statement, for the way in which he has kept the House updated, and for making arrangements for the chief medical officer, NHS England officials and Public Health England officials to keep me updated.
Our thoughts are naturally with those who have lost their lives and those who have contracted the virus, including the two cases mentioned by the Secretary of State.
I thank our NHS staff, who once again show themselves to be exceptional and dedicated.
I pay tribute to our world-leading expertise at Public Health England and NHS England.
I also join the Secretary of State in putting on record our thanks to all those involved in returning British nationals from Wuhan.
Will he tell the House whether it is the Government’s intention to return all remaining British nationals in China, and whether there will be more Foreign and Commonwealth Office chartered flights in the coming days?
I agree with the Secretary of State that we must remain vigilant and alert, and not succumb to alarmism or scaremongering.
As things stand, the virus has a mortality rate of around 2%.
That is certainly significant but, as he says, most people will recover.
However, the virus is highly infectious.
The pathogen appears to be easily transmitted.
Cases have now been reported in over 20 countries.
The epidemic has grown at a pace quite unprecedented in recent history, with the official case count more than tripling in the past week.
I welcome the Secretary of State’s remarks about the G7.
He will be aware, of course, that we have seen cases in countries such as Cambodia, Nepal and the Philippines that have weaker health systems than ours.
What work is he carrying out with the Secretary of State for International Development to support countries around the world that will need extra help at this time?
I welcome the Secretary of State’s £20 million for vaccine research,
, but we have to recognise that, even if a vaccine is produced, it is probably some months away.
Therefore, slowing down the virus spread while that vaccine is developed is absolutely crucial.
So how many people has Public Health England now contacted who have been in touch with the two people who were infected?
Is he able to share those figures with the House?
I understand, and indeed endorse, the precaution of NHS England in quarantining evacuees from Wuhan at Arrowe Park Hospital on the Wirral.
I must mention my hon. Friend the Member for Wirral West (Margaret Greenwood), who is the local MP and who has been in touch regularly with Ministers, her constituents and the hospital since the news broke last Thursday.
I have been contacted by a patient in quarantine who has told me that evacuees are tested for the virus only if they display symptoms because risk of virus transmission is considered low.
It would help to reassure the House if the Secretary of State could clarify why, if risk of transmission among non-symptomatic evacuees is low, there is no option for evacuees to self-quarantine at home.
I understand that Japan and the Netherlands are allowing such quarantine.
but it would be helpful if he could offer greater clarity and those reassurances.
Indeed, what would be the response of the Government and the NHS if evacuees wanted to leave Arrowe Park and self-quarantine at home?
Could he update the House on that?
l As I say, I endorse the precautions that Ministers are taking,
I welcome the public information campaign.
Will the Secretary of State update us on what discussions he has had with local authority public health officials and local authorities’ social care providers and social care staff, who are obviously caring for people who are especially vulnerable to the respiratory problems associated with coronavirus?
This is a time of considerable strain on the NHS.
I know the Secretary of State and I disagree on why that is, but he will accept that it is a time of huge pressure.
How many specialist beds are available across the system to deal with more cases of coronavirus should we need them, and what is the capacity of trusts to flex up extra specialist beds if needed?
If we do succumb to the epidemic in the UK, that will start to affect the wider NHS workforce as well.
What plans are in place to ensure that NHS staff are protected over the coming months—because, as he rightly says, this is a marathon, not a sprint?
I am sure the Secretary of State would agree that we should have no truck with the racism and insensitivity shown towards Chinese and east Asian people that we have sadly seen in some quarters, with wrongly attributed videos showing wild animals being eaten and crass cartoons in the Evening Standard.
Indeed, the French media are digging up old racist tropes as well.
None of these attempts to dehumanise an entire ethnicity should be allowed to prevail.
I welcome the Secretary of State’s statement today and hope he will continue to keep the House updated in the coming days and weeks.
I am grateful to the Secretary of State for advance sight of his statement, for the way in which he has kept the House updated, and for making arrangements for the chief medical officer, NHS England officials and Public Health England officials to keep me updated.
Our thoughts are naturally with those who have lost their lives and those who have contracted the virus, including the two cases mentioned by the Secretary of State.
I thank our NHS staff, who once again show themselves to be exceptional and dedicated.
I pay tribute to our world-leading expertise at Public Health England and NHS England.
I also join the Secretary of State in putting on record our thanks to all those involved in returning British nationals from Wuhan.
Will he tell the House whether it is the Government’s intention to return all remaining British nationals in China, and whether there will be more Foreign and Commonwealth Office chartered flights in the coming days?
I agree with the Secretary of State that we must remain vigilant and alert, and not succumb to alarmism or scaremongering.
As things stand, the virus has a mortality rate of around 2%.
That is certainly significant but, as he says, most people will recover.
However, the virus is highly infectious.
The pathogen appears to be easily transmitted.
Cases have now been reported in over 20 countries.
The epidemic has grown at a pace quite unprecedented in recent history, with the official case count more than tripling in the past week.
I welcome the Secretary of State’s remarks about the G7.
He will be aware, of course, that we have seen cases in countries such as Cambodia, Nepal and the Philippines that have weaker health systems than ours.
What work is he carrying out with the Secretary of State for International Development to support countries around the world that will need extra help at this time?
I welcome the Secretary of State’s £20 million for vaccine research,
, but we have to recognise that, even if a vaccine is produced, it is probably some months away.
Therefore, slowing down the virus spread while that vaccine is developed is absolutely crucial.
So how many people has Public Health England now contacted who have been in touch with the two people who were infected?
Is he able to share those figures with the House?
I understand, and indeed endorse, the precaution of NHS England in quarantining evacuees from Wuhan at Arrowe Park Hospital on the Wirral.
I must mention my hon. Friend the Member for Wirral West (Margaret Greenwood), who is the local MP and who has been in touch regularly with Ministers, her constituents and the hospital since the news broke last Thursday.
I have been contacted by a patient in quarantine who has told me that evacuees are tested for the virus only if they display symptoms because risk of virus transmission is considered low.
It would help to reassure the House if the Secretary of State could clarify why, if risk of transmission among non-symptomatic evacuees is low, there is no option for evacuees to self-quarantine at home.
I understand that Japan and the Netherlands are allowing such quarantine.
but it would be helpful if he could offer greater clarity and those reassurances.
Indeed, what would be the response of the Government and the NHS if evacuees wanted to leave Arrowe Park and self-quarantine at home?
Could he update the House on that?
l As I say, I endorse the precautions that Ministers are taking,
I welcome the public information campaign.
Will the Secretary of State update us on what discussions he has had with local authority public health officials and local authorities’ social care providers and social care staff, who are obviously caring for people who are especially vulnerable to the respiratory problems associated with coronavirus?
This is a time of considerable strain on the NHS.
I know the Secretary of State and I disagree on why that is, but he will accept that it is a time of huge pressure.
How many specialist beds are available across the system to deal with more cases of coronavirus should we need them, and what is the capacity of trusts to flex up extra specialist beds if needed?
If we do succumb to the epidemic in the UK, that will start to affect the wider NHS workforce as well.
What plans are in place to ensure that NHS staff are protected over the coming months—because, as he rightly says, this is a marathon, not a sprint?
I am sure the Secretary of State would agree that we should have no truck with the racism and insensitivity shown towards Chinese and east Asian people that we have sadly seen in some quarters, with wrongly attributed videos showing wild animals being eaten and crass cartoons in the Evening Standard.
Indeed, the French media are digging up old racist tropes as well.
None of these attempts to dehumanise an entire ethnicity should be allowed to prevail.
I welcome the Secretary of State’s statement today and hope he will continue to keep the House updated in the coming days and weeks.",5908
2020-02-03,Wuhan Coronavirus,c45.1,uk.org.publicwhip/person/25306,Chris Stephens,Scottish National Party,Shadow SNP Spokesperson (Fair Work and Employment),0,"I thank the Secretary of State for advance sight of his statement.
Our thoughts and prayers are with the families affected in what is truly a global health emergency.
I have three quick questions for him.
First, can he tell us what discussions he has had with the devolved Administrations, and will he commit to ensuring that they are updated in real time on any developments in order for them to react immediately in advance of any new announcements?
Secondly, the Chinese Foreign Ministry has issued an urgent request for medical masks, protective suits and safety goggles.
Is this something the Government will be looking to provide?
Finally, what assessment has he made of the conflicting advice on closing borders—some voices are saying that this could inadvertently lead to an increase in the number of affected persons—and how has that impacted on any advice that he and his departmental officials have chosen to give?
I thank the Secretary of State for advance sight of his statement.
Our thoughts and prayers are with the families affected in what is truly a global health emergency.
I have three quick questions for him.
First, can he tell us what discussions he has had with the devolved Administrations, and will he commit to ensuring that they are updated in real time on any developments in order for them to react immediately in advance of any new announcements?
Secondly, the Chinese Foreign Ministry has issued an urgent request for medical masks, protective suits and safety goggles.
Is this something the Government will be looking to provide?
Finally, what assessment has he made of the conflicting advice on closing borders—some voices are saying that this could inadvertently lead to an increase in the number of affected persons—and how has that impacted on any advice that he and his departmental officials have chosen to give?",1328
2020-02-03,Wuhan Coronavirus,c47.2,uk.org.publicwhip/person/25300,Patricia Gibson,Scottish National Party,Shadow SNP Spokesperson (Consumer Affairs),0,"I agree with the Secretary of State that a co-ordinated global response is extremely important, because we know that delaying responses could hasten the spread of the disease.
Does he share my concern about reports in The New York Times yesterday, which referred to countries where China holds sway?
For example, Cambodia is a magnet for Chinese tourists and workers.
Its Prime Minister, Hun Sen, told a news conference that anybody wearing a mask would be kicked out of that conference because it would create a climate of fear.
Does the Secretary of State share my concern that that does not bode well for trying to slow down the spread of this disease?
I agree with the Secretary of State that a co-ordinated global response is extremely important, because we know that delaying responses could hasten the spread of the disease.
Does he share my concern about reports in The New York Times yesterday, which referred to countries where China holds sway?
For example, Cambodia is a magnet for Chinese tourists and workers.
Its Prime Minister, Hun Sen, told a news conference that anybody wearing a mask would be kicked out of that conference because it would create a climate of fear.
Does the Secretary of State share my concern that that does not bode well for trying to slow down the spread of this disease?",738
2020-02-03,Wuhan Coronavirus,c47.6,uk.org.publicwhip/person/25433,Rachael Maskell,Labour,Shadow Secretary of State for Employment Rights,0,"I particularly thank Public Health England for the advice it has provided throughout the weekend, but levels of concern remain high in York.
Not only is that impacting on the local economy, but people are concerned.
That concern could be alleviated by better communication and if the statutory bodies—including the local authority, the university, the police and other authorities—are kept better informed about what is happening.
Will the Secretary of State meet me to discuss what has happened in York and learn from that so that it can be repeated in a better way elsewhere?
I particularly thank Public Health England for the advice it has provided throughout the weekend, but levels of concern remain high in York.
Not only is that impacting on the local economy, but people are concerned.
That concern could be alleviated by better communication and if the statutory bodies—including the local authority, the university, the police and other authorities—are kept better informed about what is happening.
Will the Secretary of State meet me to discuss what has happened in York and learn from that so that it can be repeated in a better way elsewhere?",776
2020-02-03,Wuhan Coronavirus,c49.6,uk.org.publicwhip/person/25432,Cat Smith,Labour,Shadow Minister for Voter Engagement and Youth Affairs,0,"I put on record my thanks to all the officials who supported my 81-year-old constituent Veronica Theobald to make the journey from Wuhan to the Wirral.
What lessons have been learned about the repatriation of older citizens or citizens with additional needs, who might be more vulnerable?
I put on record my thanks to all the officials who supported my 81-year-old constituent Veronica Theobald to make the journey from Wuhan to the Wirral.
What lessons have been learned about the repatriation of older citizens or citizens with additional needs, who might be more vulnerable?",196
